Rank,Movie,Worldwide Box Office,Domestic Box Office,International Box Office,DomesticShare
1,Inside Out 2,"$1,698,863,816","$652,980,194","$1,045,883,622",38.44%
2,Deadpool & Wolverine,"$1,338,071,348","$636,745,858","$701,325,490",47.59%
3,Moana 2,"$1,036,594,612","$454,574,310","$582,020,302",43.85%
4,Despicable Me 4,"$970,937,308","$361,004,205","$609,933,103",37.18%
5,Wicked,"$723,017,941","$471,274,200","$251,743,741",65.18%
6,Dune: Part Two,"$715,209,065","$282,709,065","$432,500,000",39.53%
7,Mufasa: The Lion King,"$654,603,412","$231,282,192","$423,321,220",35.33%
8,Godzilla x Kong: The New Empire,"$572,305,338","$196,805,338","$375,500,000",34.39%
9,Kung Fu Panda 4,"$547,812,900","$193,590,620","$354,222,280",35.34%
10,YOLO (热辣滚烫),"$479,597,304","$2,001,584","$477,595,720",0.42%
11,Venom: The Last Dance,"$474,576,844","$139,755,882","$334,820,962",29.45%
12,Successor (抓娃娃),"$469,612,890",,"$469,612,890",
13,Pegasus 2 (飞驰人生2),"$466,930,272",,"$466,930,272",
14,Sonic the Hedgehog 3,"$463,280,092","$231,344,087","$231,936,005",49.94%
15,Gladiator II,"$460,989,969","$172,438,016","$288,551,953",37.41%
16,Beetlejuice Beetlejuice,"$451,900,435","$294,100,435","$157,800,000",65.08%
17,Bad Boys: Ride or Die,"$400,526,237","$193,573,217","$206,953,020",48.33%
18,Kingdom of the Planet of the Apes,"$397,369,969","$171,130,165","$226,239,804",43.07%
19,Twisters,"$372,186,517","$267,762,265","$104,424,252",71.94%
20,Alien: Romulus,"$350,865,342","$105,313,091","$245,552,251",30.02%
21,It Ends With Us,"$349,722,357","$148,518,266","$201,204,091",42.47%
22,Article 20 (第二十条),"$337,554,287",,"$337,554,287",
23,The Wild Robot,"$327,576,671","$143,901,945","$183,674,726",43.93%
24,Boonie Bears: Time Twist (熊出没·逆转时空),"$275,818,090",,"$275,818,090",
25,A Quiet Place: Day One,"$261,067,171","$139,051,884","$122,015,287",53.26%
26,The Garfield Movie,"$254,812,893","$91,956,547","$162,856,346",36.09%
27,Joker: Folie à Deux,"$207,500,287","$58,300,287","$149,200,000",28.10%
28,Ghostbusters: Frozen Empire,"$200,796,241","$113,376,590","$87,419,651",56.46%
29,A Place Called Silence (默杀),"$192,856,689",,"$192,856,689",
30,Red One,"$185,884,173","$97,000,759","$88,883,414",52.18%
31,IF,"$184,898,670","$111,375,918","$73,522,752",60.24%
32,The Fall Guy,"$181,150,805","$92,900,355","$88,250,450",51.28%
33,Bob Marley: One Love,"$176,815,189","$96,981,216","$79,833,973",54.85%
34,Furiosa: A Mad Max Saga,"$174,287,546","$67,587,546","$106,700,000",38.78%
35,Nosferatu,"$172,700,583","$95,085,080","$77,615,503",55.06%
36,The Volunteers: The Battle of Life and Death (志…,"$164,822,164",,"$164,822,164",
37,Pushpa: The Rule — Part 2,"$154,621,981","$13,000,000","$141,621,981",8.41%
38,The Beekeeper,"$152,409,233","$66,220,535","$86,188,698",43.45%
39,Detective Conan: The Million-Dollar Pentagram,"$150,008,115",,"$150,008,115",
40,Smile 2,"$138,024,364","$69,012,586","$69,011,778",50.00%
41,Transformers One,"$128,317,666","$59,098,421","$69,219,245",46.06%
42,Civil War,"$127,339,353","$68,757,539","$58,581,814",54.00%
43,Kalki 2898-AD,"$125,857,438","$18,289,575","$107,567,863",14.53%
44,Longlegs,"$125,340,012","$74,346,140","$50,993,872",59.32%
45,Haikyu!! The Movie: Decisive Battle at the Garb…,"$109,391,411","$7,071,622","$102,319,789",6.46%
46,Desperate for Money at the End of the Road (末路狂…,"$107,620,607",,"$107,620,607",
47,Mean Girls,"$104,581,770","$72,581,770","$32,000,000",69.40%
48,Stree 2,"$102,184,000","$2,184,000","$100,000,000",2.14%
49,Madame Web,"$100,298,817","$43,817,106","$56,481,711",43.69%
50,Her Story (好东西),"$98,407,068",,"$98,407,068",
51,Argylle,"$96,226,228","$45,207,275","$51,018,953",46.98%
52,Challengers,"$96,119,408","$50,119,408","$46,000,000",52.14%
53,Octopus with Broken Arms (误杀3),"$95,674,777",,"$95,674,777",
54,Twilight of the Warriors: Walled In (九龙城寨之围城)…,"$95,399,186","$336,003","$95,063,183",0.35%
55,Paddington in Peru,"$93,200,000",,"$93,200,000",
56,Conclave,"$91,750,415","$32,063,530","$59,686,885",34.95%
57,"The Pig, the Snake and the Pigeon (周处除三害)…","$91,608,950",,"$91,608,950",
58,Big World (小小的我),"$91,132,039",,"$91,132,039",
59,A Complete Unknown,"$88,438,689","$67,776,139","$20,662,550",76.64%
60,Exhuma (파묘),"$84,728,599","$2,310,900","$82,417,699",2.73%
61,Trap,"$83,677,281","$42,777,281","$40,900,000",51.12%
62,The Roundup: Punishment (범죄도시4),"$78,611,756","$1,154,475","$77,457,281",1.47%
63,Speak No Evil,"$77,221,772","$36,931,420","$40,290,352",47.83%
64,The Substance,"$76,935,173","$17,204,265","$59,730,908",22.36%
65,Terrifier 3,"$76,336,492","$53,981,071","$22,355,421",70.71%
66,Formed Police Unit (维和防暴队),"$71,896,273",,"$71,896,273",
67,Moments We Shared (云边有个小卖部),"$71,154,383",,"$71,154,383",
68,GO FOR BROKE (重生),"$65,388,937",,"$65,388,937",
69,Tiger Wolf Rabbit (浴火之路),"$63,683,455",,"$63,683,455",
70,Kraven the Hunter,"$59,918,833","$24,933,715","$34,985,118",41.61%
71,Heretic,"$59,514,193","$27,716,205","$31,797,988",46.57%
72,White Snake: Afloat (白蛇：浮生),"$59,307,515",,"$59,307,515",
73,Babygirl,"$56,559,280","$27,844,786","$28,714,494",49.23%
74,Night Swim,"$54,762,429","$32,494,740","$22,267,689",59.34%
75,The First Omen,"$53,992,802","$20,092,802","$33,900,000",37.21%
76,We Live in Time,"$53,077,230","$24,690,031","$28,387,199",46.52%
77,"I, The Executioner (베테랑2)","$52,265,959","$388,067","$51,877,892",0.74%
78,Kingdom 4: Return of the Great General (キングダム 大…,"$52,084,125",,"$52,084,125",
79,Bureau 749 (749局),"$51,706,251",,"$51,706,251",
80,Back to Black,"$51,026,615","$6,178,165","$44,848,450",12.11%
81,Demon Slayer: Kimetsu no Yaiba—To the Hashira T…,"$50,439,672","$17,657,658","$32,782,014",35.01%
82,Upstream (逆行人生),"$49,528,223",,"$49,528,223",
83,Tarot,"$49,104,745","$18,771,004","$30,333,741",38.23%
84,Blink Twice,"$48,093,906","$23,093,906","$25,000,000",48.02%
85,The Strangers: Chapter 1,"$47,445,905","$35,202,562","$12,243,343",74.20%
86,Decoded (解密),"$47,097,487",,"$47,097,487",
87,Doraemon the Movie: Nobita’s Earth Symphony (映画…,"$46,704,773",,"$46,704,773",
88,Imaginary,"$43,673,616","$28,009,161","$15,664,455",64.13%
89,Kholop 2 (Холоп 2),"$43,311,804",,"$43,311,804",
90,Abigail,"$43,011,701","$25,867,515","$17,144,186",60.14%
91,Panda Plan (熊猫计划),"$42,238,170","$40,110","$42,198,060",0.09%
92,High Forces (危机航线),"$41,582,702",,"$41,582,702",
93,Honey Money Phony (骗骗喜欢你),"$41,004,345",,"$41,004,345",
94,The Best Christmas Pageant Ever,"$40,265,899","$40,048,808","$217,091",99.46%
95,Crayon Shinchan: Our Dinosaur Diary ( 映画 クレヨンしん…,"$39,937,608",,"$39,937,608",
96,Last Mile (ラストマイル),"$39,588,981",,"$39,588,981",
97,Horizon: An American Saga Chapter 1,"$38,735,702","$29,035,702","$9,700,000",74.96%
98,Fly Me to the Moon,"$38,198,351","$20,532,222","$17,666,129",53.75%
99,Viva La Vida (我们一起摇太阳),"$38,053,577",,"$38,053,577",
100,The Bikeriders,"$36,277,058","$21,746,895","$14,530,163",59.95%
101,B for Busy (爱情神话),"$35,996,576",,"$35,996,576",
102,Mobile Suit Gundam SEED Freedom (機動戦士ガンダムSEED F…,"$35,418,211",,"$35,418,211",
103,Cesium Fallout (焚城),"$35,335,079",,"$35,335,079",
104,Monkey Man,"$35,271,631","$25,116,955","$10,154,676",71.21%
105,Anora,"$33,953,956","$15,253,956","$18,700,000",44.93%
106,Bremenskiye muzykanty (Бременские музыканты)…,"$33,734,462",,"$33,734,462",
107,Stand By Me (野孩子),"$33,647,464",,"$33,647,464",
108,Lahn mah,"$33,621,245","$303,772","$33,317,473",0.90%
109,The Prosecutor (误判),"$33,504,125","$392,175","$33,111,950",1.17%
