,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,origin_country,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
0,False,/wuOQJ9z4mFMGGplm1gUJaK2JjdF.jpg,,18052672,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",https://showbox.co.kr/En/Lineup/Detail?ck_year=2020&mvcode=JU200165,626872,tt11535228,['KR'],ko,비상선언,"While investigating a terroristic threat that goes viral online, Korean authorities discover that a suspect has recently boarded an international flight bound for the United States. When a healthy passenger on the same flight suddenly dies a gruesome death of unknown cause, panic erupts both in-flight and on the ground. With steadily decreasing fuel and international refusals to offer aid, the captain and crew will be forced to take unprecedented emergency measures in an attempt to save the lives of their passengers.",18.838,/vkXqfnXCjiN6yjFE5VQ9hfidciO.jpg,"[{'id': 63014, 'logo_path': '/fw6qEw1GXCKf6n51zwN7nJTG42S.png', 'name': 'CJeS Studios', 'origin_country': 'KR'}, {'id': 138367, 'logo_path': '/tUukjOHjznIX0jH0vR8pfqGIeb.png', 'name': 'MAGNUM9', 'origin_country': 'KR'}, {'id': 112926, 'logo_path': None, 'name': 'Cine Joo', 'origin_country': 'KR'}, {'id': 103323, 'logo_path': '/6erRU1smLcM353NKVldsYyAFh56.png', 'name': 'Dexter Studios', 'origin_country': 'KR'}, {'id': 3491, 'logo_path': '/hXRKXi3M9qfP4Npi1kjAaH4eGnM.png', 'name': 'Showbox', 'origin_country': 'KR'}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",2022-08-03,19200000,140,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}, {'english_name': 'Korean', 'iso_639_1': 'ko', 'name': '한국어/조선말'}]",Released,Take your seat.,Emergency Declaration,False,7.5,366
1,False,/xov3ufX4ZRyw2pSF3XLNjtvZPw4.jpg,"{'id': 736824, 'name': 'Confidential Assignment', 'poster_path': '/8PjNkCY1ZPo6wnDUsdDtaOgGVCv.jpg', 'backdrop_path': '/AwABOlAYcdfbWjcJInNO3vA8VJs.jpg'}",0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",,736820,tt21867370,['KR'],ko,공조 2: 인터내셔날,"Follows Rim Chul Ryung heading back to South Korea in pursuit of a brutal and secret criminal organization. He teams up again with Kang Jin Tae, who volunteers to work with the North Korean in order to get back on the investigation team after a mistake landed him in the cyber crime department.",8.779,/wvJOS9e9b0GXfNni98dYZujPLC8.jpg,"[{'id': 10955, 'logo_path': '/7uRzBHgr2ypR31zmdkbvuvk7ney.png', 'name': 'JK Film', 'origin_country': 'KR'}, {'id': 7036, 'logo_path': '/javbyY0ZCvlFJtly3tpZqf2NwLX.png', 'name': 'CJ Entertainment', 'origin_country': 'KR'}, {'id': 128404, 'logo_path': '/dP3usmr6di1jMPH738rvbxdkmSQ.png', 'name': 'CJ ENM', 'origin_country': 'KR'}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",2022-09-07,0,129,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Korean', 'iso_639_1': 'ko', 'name': '한국어/조선말'}]",Released,One team new mission.,Confidential Assignment 2: International,False,7.0,54
2,False,/vW016VDPIzzEgDzrC19xJ7pAoqg.jpg,,8500000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",,774548,tt17494686,['KR'],ko,데시벨,A former Naval officer with a dark past must face off against an insurgent with a sound sensitive bomb.,11.133,/pnqJLYhdZ6NHPe4I3EwicS52GG0.jpg,"[{'id': 118767, 'logo_path': None, 'name': 'East Dream Synopex', 'origin_country': 'KR'}, {'id': 172538, 'logo_path': '/9W8vEzgSeT1gojBScmD2XJ6WYGD.png', 'name': 'Mindmark', 'origin_country': 'KR'}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",2022-11-16,6843970,110,"[{'english_name': 'Korean', 'iso_639_1': 'ko', 'name': '한국어/조선말'}, {'english_name': 'Turkish', 'iso_639_1': 'tr', 'name': 'Türkçe'}]",Released,It will explode if it exceeds 100db.,Decibel,True,6.667,60
3,False,/eHK0Tagwl5kPhpIKstBeG045aLt.jpg,,0,"[{'id': 35, 'name': 'Comedy'}]",,821153,tt21800888,['KR'],ko,육사오,A comedy film about North and South Korean soldiers vying for a winning lotto ticket that crossed the demarcation line because of the strong wind.,6.909,/AifHZptVzkzLLfk2tedIQixqrgV.jpg,"[{'id': 3657, 'logo_path': '/2YXnZa6yPjxdHKzBLgmf57D8QpM.png', 'name': 'Sidus', 'origin_country': 'KR'}, {'id': 70681, 'logo_path': None, 'name': 'TPS Company', 'origin_country': 'KR'}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",2022-08-24,0,113,"[{'english_name': 'Korean', 'iso_639_1': 'ko', 'name': '한국어/조선말'}]",Released,Joint lottery area,6/45,False,6.7,39
4,False,/iryef4LKiPQkvhNJS1EtLlay3br.jpg,"{'id': 619533, 'name': 'The Witch Collection', 'poster_path': '/xMAbXfcIuciIJ2BjrCrkwx96goh.jpg', 'backdrop_path': '/qq1N4JTE1nh09PcEEMwDjqbCuFj.jpg'}",0,"[{'id': 28, 'name': 'Action'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",https://www.wellgousa.com/films/the-witch-2-the-other-one,615173,tt13721828,['KR'],ko,마녀 2,"A girl wakes up in a huge secret laboratory, then accidentally meets another girl who is trying to protect her house from a gang. The mystery girl overthrows the gang with her unexpected powers, and laboratory staff set out to find her.",76.196,/9YTuscJXmr9Iua62amCgGSU8PDW.jpg,"[{'id': 10924, 'logo_path': '/1zHPlgqjPzxyDc3ov3hIhnUpQJK.png', 'name': 'Peppermint & Company', 'origin_country': 'KR'}, {'id': 20064, 'logo_path': '/2In7Heq6DuXDjOwPmJqHWkpohaL.png', 'name': 'Next Entertainment World', 'origin_country': 'KR'}, {'id': 106996, 'logo_path': '/stmGVs6UmgfqE9BYNB5lXjy5gQm.png', 'name': 'Studio & New', 'origin_country': 'KR'}, {'id': 128397, 'logo_path': '/wWFYPyArqOGiev5l7OufQTJXgQ8.png', 'name': 'Goldmoon Film', 'origin_country': 'KR'}, {'id': 73918, 'logo_path': '/lnHDA1Fnpdjbg6fUF4gpneeAdf1.png', 'name': 'Contents Panda', 'origin_country': 'KR'}, {'id': 103747, 'logo_path': None, 'name': 'Warner Bros. Korea', 'origin_country': 'KR'}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",2022-06-15,23068596,137,"[{'english_name': 'Mandarin', 'iso_639_1': 'zh', 'name': '普通话'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Hindi', 'iso_639_1': 'hi', 'name': 'हिन्दी'}, {'english_name': 'Korean', 'iso_639_1': 'ko', 'name': '한국어/조선말'}]",Released,The beginning of everything.,The Witch: Part 2. The Other One,False,7.3,335
5,False,/dom8lzl2iU46nDu6s4lBolBNjQs.jpg,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",,736732,tt13056052,['KR'],ko,브로커,"Sang-hyun is always struggling from debt, and Dong-soo works at a baby box facility. On a rainy night, they steal the baby Woo-sung, who was left in the baby box, to sell him at a good price. Meanwhile, detectives were watching, and they quietly track them down to capture the crucial evidence.",18.009,/x86xaUnxU31JYiwlO35corDEV1i.jpg,"[{'id': 85150, 'logo_path': '/dXGvoNR0ni359HmKefOAIMY7WcE.png', 'name': 'Zip Cinema', 'origin_country': 'KR'}, {'id': 7036, 'logo_path': '/javbyY0ZCvlFJtly3tpZqf2NwLX.png', 'name': 'CJ Entertainment', 'origin_country': 'KR'}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",2022-06-08,18632208,129,"[{'english_name': 'Korean', 'iso_639_1': 'ko', 'name': '한국어/조선말'}]",Released,Some leave. Some retrieve.,Broker,False,7.161,467
6,False,/jwtsNew0oMC11Nns3QrFzKKAONc.jpg,"{'id': 619802, 'name': 'The Roundup Collection', 'poster_path': '/lmf188GpuWrm9nrvhfpQzv65kcG.jpg', 'backdrop_path': '/ra2aSkkwOQRoymeg5p19PfnC9r9.jpg'}",7600000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}, {'id': 12, 'name': 'Adventure'}]",https://theroundup.capelight.de/,619803,tt15838850,['KR'],ko,범죄도시 2,"The 'Beast Cop' Ma Seok-do heads to a foreign country to extradite a suspect, but soon after his arrival, he discovers additional murder cases and hears about a vicious killer who has been committing crimes against tourists for several years.",41.867,/aTogcymFfYXYb2sx950ntIpgOJe.jpg,"[{'id': 84678, 'logo_path': '/8pjrX8L669kQUdCqCCpv3uWOSBC.png', 'name': 'BA Entertainment', 'origin_country': 'KR'}, {'id': 96989, 'logo_path': None, 'name': 'Hong Film', 'origin_country': 'KR'}, {'id': 129217, 'logo_path': '/s5rN5NUfE9yx21Yh0CuLULAGH5Y.png', 'name': 'Big Punch Pictures', 'origin_country': 'KR'}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",2022-05-18,101166707,106,"[{'english_name': 'Korean', 'iso_639_1': 'ko', 'name': '한국어/조선말'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,The Beast Cop Is Back!,The Roundup,False,7.231,325
7,False,/7ZP8HtgOIDaBs12krXgUIygqEsy.jpg,"{'id': 1000386, 'name': 'Alienoid Collection', 'poster_path': '/jNFe0AY1W7RtOjhMt7qipS3TCfK.jpg', 'backdrop_path': '/tySCSCVveLrYl4RpTQIQXMMYcF6.jpg'}",24500000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}, {'id': 12, 'name': 'Adventure'}]",,601796,tt20168564,['KR'],ko,외계+인 1부,"Gurus in the late Goryeo dynasty try to obtain a fabled, holy sword, and humans in 2022 hunt down an alien prisoner that is locked in a human's body. The two parties cross paths when a time-traveling portal opens up.",61.474,/8QVDXDiOGHRcAD4oM6MXjE0osSj.jpg,"[{'id': 118358, 'logo_path': '/57u7ny0hdDRaDdwdrNTTj9np6Cx.png', 'name': 'Caper Film', 'origin_country': 'KR'}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",2022-07-20,12109608,142,"[{'english_name': 'Korean', 'iso_639_1': 'ko', 'name': '한국어/조선말'}]",Released,"For ages, aliens have locked up their prisoners in humans bodies.",Alienoid,False,6.819,453
8,False,/xkXsV1WOiKfAJ6dzXiavdwsZ3E2.jpg,,9000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}, {'id': 80, 'name': 'Crime'}]",,799379,tt15575470,['KR'],ko,늑대사냥,"While under heavily armed guard, the dangerous convicts aboard a cargo ship unite in a coordinated escape attempt that soon escalates into a bloody, all-out riot. But as the fugitives continue their brutal campaign of terror, they soon discover that not even the most vicious among them is safe from the horror they unknowingly unleashed from the darkness below deck.",45.764,/dniWicB6fa7NvpGbguxWlNPMc5f.jpg,"[{'id': 113586, 'logo_path': '/1ttGM0XnnO82aKJwWp4iBrveK7G.png', 'name': 'The Contents On', 'origin_country': 'KR'}, {'id': 162275, 'logo_path': None, 'name': 'Contents G', 'origin_country': 'KR'}, {'id': 162276, 'logo_path': None, 'name': 'Cheum Film', 'origin_country': ''}, {'id': 11590, 'logo_path': '/7OOrgnVw0RAX3tq8ikWUmNud8qT.png', 'name': 'Finecut', 'origin_country': 'KR'}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",2022-09-21,20541,122,"[{'english_name': 'Korean', 'iso_639_1': 'ko', 'name': '한국어/조선말'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}]",Released,A floating hell with no escape.,Project Wolf Hunting,False,6.376,371
9,False,/8voS6nJU5DdKSfFsKIMTTlDssM9.jpg,,17000000,"[{'id': 28, 'name': 'Action'}, {'id': 9648, 'name': 'Mystery'}, {'id': 18, 'name': 'Drama'}]",http://www.huntthemovie.com/,727340,tt6931658,['KR'],ko,헌트,"After a high-ranking North Korean official requests asylum, KCIA Foreign Unit chief Park Pyong-ho and Domestic Unit chief Kim Jung-do are tasked with uncovering a North Korean spy, known as Donglim, who is deeply embedded within their agency. When the spy begins leaking top secret intel that could jeopardize national security, the two units are each assigned to investigate each other.",18.458,/qWkLnFsgHmV8NeyJMal5yUlpFEN.jpg,"[{'id': 27133, 'logo_path': '/2hAfEWVO5JGBzHFjPHWFwPU9r55.png', 'name': 'Sanai Pictures', 'origin_country': 'KR'}, {'id': 213755, 'logo_path': '/k6PPL4oCQ3ijzzL8OaBcmBcuvAU.png', 'name': 'Artist Studio', 'origin_country': 'KR'}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",2022-08-10,25994,131,"[{'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Portuguese', 'iso_639_1': 'pt', 'name': 'Português'}, {'english_name': 'Korean', 'iso_639_1': 'ko', 'name': '한국어/조선말'}]",Released,"Two rivals, a hidden truth.",Hunt,False,6.702,173
