,MovieId,Rank,Region,Name,ReleaseDate,Publisher,DayCount,TheaterCount,Amount,AmountRate,Tickets,TicketRate,MarketShare,TotalDayCount,TotalAmount,TotalTickets,FirstWeekAmount,TotalWeekendAmount,Year
0,21945,1,韓國,緊急迫降,2022-08-12,RELAY MOTION KFT.,71.0,73,45065924,0,184178,0,0.008227085021177001,71,45065924,184178,16793934,27418939,2022
1,22241,2,韓國,機密同盟2,2022-09-08,RELAY MOTION KFT.,57.0,67,19925286,0,82725,0,0.00369526006568,57,19925286,82725,8160089,12236324,2022
2,23147,3,韓國,音爆浩劫,2022-11-25,RELAY MOTION KFT.,37.0,70,18565875,0,78936,0,0.0035260084441770005,49,18565875,78936,7876055,12191228,2022
3,22479,4,韓國,樂透大作戰,2022-09-30,Atrium Productions Kft.,55.0,81,18394205,0,75250,0,0.003361357750891,55,18394205,75250,5850600,12057983,2022
4,21736,5,韓國,魔女二部曲：另一個她,2022-07-01,RELAY MOTION KFT.,56.0,62,16890288,0,70736,0,0.0031597209550430004,56,16890288,70736,8135793,10736435,2022
5,21615,6,韓國,嬰兒轉運站,2022-06-24,RELAY MOTION KFT.,63.0,69,14595323,0,59700,0,0.002666751597716,63,14595323,59700,7543891,9056424,2022
6,21222,7,韓國,犯罪都市2,2022-05-20,RELAY MOTION KFT.,64.0,65,10985137,0,46397,0,0.002072517150406,64,10985137,46397,4947839,7001925,2022
7,21858,8,韓國,外星+人,2022-07-27,RELAY MOTION KFT.,47.0,69,9396972,0,38589,0,0.001723739990021,47,9396972,38589,6307508,5218965,2022
8,22473,9,韓國,行動代號：狼狩獵,2022-09-30,RELAY MOTION KFT.,35.0,65,8631370,0,36581,0,0.0016340442243900001,35,8631370,36581,4783950,5636009,2022
9,22113,10,韓國,獵首密令,2022-08-26,MegaboxJoongang  Inc## PlusM.,80.0,84,8274617,0,35097,0,0.001567755122698,80,8274617,35097,4990138,5375295,2022
10,22239,11,韓國,語意錯誤電影版,2022-09-08,ATRIUM PRODUCTIONS KFT,82.0,24,8129335,0,31630,0,0.0014128869855240002,92,8129335,31630,3245211,5233689,2022
11,21763,12,韓國,分手的決心,2022-07-15,RELAY MOTION KFT.,69.0,57,7031402,0,28366,0,0.001267086697166,86,7031402,28366,3198342,4288004,2022
12,20398,13,韓國,極速快遞,2022-01-28,RELAY MOTION KFT.,34.0,55,6374008,0,27087,0,0.001209954782702,34,6374008,27087,3687510,3207196,2022
13,22925,14,韓國,局中局,2022-11-04,RELAY MOTION KFT.,40.0,67,6046995,0,25334,0,0.0011316496645990002,40,6046995,25334,4049076,4223481,2022
14,20981,15,韓國,SEVENTEEN POWER OF LOVE : THE MOVIE,2022-04-20,CJ 4DPLEX CO. Ltd.,28.0,10,3078150,0,5961,0,0.000266273136917,35,3078150,5961,2532300,2790172,2022
15,23015,16,韓國,厄憶追凶,2022-11-18,RELAY MOTION KFT.,27.0,61,2859530,0,12369,0,0.0005525134089130001,27,2859530,12369,2333168,1850517,2022
16,18813,17,韓國,金派特務,2021-10-29,KT HITEL CO. LTD.,47.0,5,97300,0,1319,0,5.891868270332854e-05,85,2698531,12405,1801355,1881897,2022
17,20553,18,韓國,PHANTOM: THE MUSICAL FILM,2022-02-18,WYS en Scene Co. Ltd.,33.0,7,2697970,0,3489,0,0.000155850859705,33,2697970,3489,1523430,1542260,2022
18,22004,19,韓國,韓山島海戰,2022-08-19,RELAY MOTION KFT.,35.0,57,2632400,0,11104,0,0.000496006863334,35,2632400,11104,1993853,1619496,2022
19,23248,20,韓國,晝盲神探,2022-12-09,RELAY MOTION KFT.,23.0,53,2467555,0,10463,0,0.000467373902293,38,2467555,10463,1735013,1652347,2022
20,23206,21,韓國,NCT DREAM THE MOVIE : In A DREAM,2022-11-30,Trafalgar Releasing Ltd.,12.0,10,2304050,0,4848,0,0.00021655631064800002,12,2304050,4848,1643100,1615425,2022
21,23216,22,韓國,整形帝王,2022-12-02,RELAY MOTION KFT.,30.0,61,2260326,0,9913,0,0.000442805838997,36,2260326,9913,1647692,1483806,2022
22,21779,23,韓國,邪門,2022-07-15,Atrium Productions Kft.,35.0,40,2200799,0,8984,0,0.00040130814663100005,35,2200799,8984,1716656,1356684,2022
23,21823,24,韓國,非常殺手,2022-07-22,RELAY MOTION KFT.,26.0,51,2185586,0,9147,0,0.000408589227207,26,2185586,9147,1692384,1474008,2022
