Date,Amount,Tickets,TotalAmount,TotalTickets,Rate,TheaterCount,MovieId
2022-04-18~2022-04-24,31370.0,144.0,31370,144,0.0,7,20801
2022-04-25~2022-05-01,17105.0,84.0,48475,228,-0.4547338221,8,20801
2022-05-02~2022-05-08,3480.0,14.0,51955,242,-0.7965507162000001,3,20801
2022-05-09~2022-05-15,660.0,3.0,52615,245,-0.8103448276,1,20801
2023-12-11~2023-12-17,38218.0,170.0,68852,307,0.2475680616,6,24842
2023-12-18~2023-12-24,10420.0,48.0,79272,355,-0.7273536030000001,3,24842
2023-12-25~2023-12-31,7575.0,35.0,86847,390,-0.2730326296,2,24842
2022-04-18~2022-04-24,153493.0,634.0,153493,634,0.0,11,20552
2022-04-25~2022-05-01,131653.0,558.0,285146,1192,-0.1422866189,10,20552
2022-05-02~2022-05-08,28626.0,122.0,313772,1314,-0.7825647725,10,20552
2022-05-09~2022-05-15,7492.0,33.0,321264,1347,-0.7382798854,4,20552
2024-10-28~2024-11-03,31884.0,139.0,55964,240,0.3240863787,12,28532
2024-11-04~2024-11-10,48885.0,175.0,104849,415,0.5332141513,6,28532
2021-11-29~2021-12-05,271497.0,1119.0,271497,1119,0.0,15,20047
2021-12-06~2021-12-12,228611.0,946.0,500108,2065,-0.15796122980000002,15,20047
2021-12-13~2021-12-19,34395.0,141.0,534503,2206,-0.8495479220000001,12,20047
2021-12-20~2021-12-26,11750.0,51.0,546253,2257,-0.6583805786,3,20047
2021-12-27~2022-01-02,,,546253,2257,-1.0,0,20047
2022-01-03~2022-01-09,,,546253,2257,0.0,0,20047
2022-01-10~2022-01-16,,,546253,2257,0.0,0,20047
2022-01-17~2022-01-23,,,546253,2257,0.0,0,20047
2022-01-24~2022-01-30,,,546253,2257,0.0,0,20047
2022-01-31~2022-02-06,,,546253,2257,0.0,0,20047
2022-02-07~2022-02-13,,,546253,2257,0.0,0,20047
2022-02-14~2022-02-20,,,546253,2257,0.0,0,20047
2022-02-21~2022-02-27,,,546253,2257,0.0,0,20047
2022-02-28~2022-03-06,,,546253,2257,0.0,0,20047
2022-03-07~2022-03-13,,,546253,2257,0.0,0,20047
2022-03-14~2022-03-20,,,546253,2257,0.0,0,20047
2022-03-21~2022-03-27,,,546253,2257,0.0,0,20047
2022-03-28~2022-04-03,,,546253,2257,0.0,0,20047
2022-04-04~2022-04-10,,,546253,2257,0.0,0,20047
2022-04-11~2022-04-17,,,546253,2257,0.0,0,20047
2022-04-18~2022-04-24,,,546253,2257,0.0,0,20047
2022-04-25~2022-05-01,,,546253,2257,0.0,0,20047
2022-05-02~2022-05-08,,,546253,2257,0.0,0,20047
2022-05-09~2022-05-15,,,546253,2257,0.0,0,20047
2022-05-16~2022-05-22,,,546253,2257,0.0,0,20047
2022-05-23~2022-05-29,,,546253,2257,0.0,0,20047
2022-05-30~2022-06-05,,,546253,2257,0.0,0,20047
2022-06-06~2022-06-12,,,546253,2257,0.0,0,20047
2022-06-13~2022-06-19,,,546253,2257,0.0,0,20047
2022-06-20~2022-06-26,,,546253,2257,0.0,0,20047
2022-06-27~2022-07-03,,,546253,2257,0.0,0,20047
2022-07-04~2022-07-10,,,546253,2257,0.0,0,20047
2022-07-11~2022-07-17,,,546253,2257,0.0,0,20047
2022-07-18~2022-07-24,,,546253,2257,0.0,0,20047
2022-07-25~2022-07-31,,,546253,2257,0.0,0,20047
2022-08-01~2022-08-07,,,546253,2257,0.0,0,20047
2022-08-08~2022-08-14,,,546253,2257,0.0,0,20047
2022-08-15~2022-08-21,,,546253,2257,0.0,0,20047
2022-08-22~2022-08-28,,,546253,2257,0.0,0,20047
2022-08-29~2022-09-04,,,546253,2257,0.0,0,20047
2022-09-05~2022-09-11,,,546253,2257,0.0,0,20047
2022-09-12~2022-09-18,,,546253,2257,0.0,0,20047
2022-09-19~2022-09-25,27500.0,125.0,573753,2382,0.0,1,20047
2022-09-26~2022-10-02,,,573753,2382,-1.0,0,20047
2022-10-03~2022-10-09,,,573753,2382,0.0,0,20047
2022-10-10~2022-10-16,,,573753,2382,0.0,0,20047
2022-10-17~2022-10-23,,,573753,2382,0.0,0,20047
2022-10-24~2022-10-30,,,573753,2382,0.0,0,20047
2022-10-31~2022-11-06,,,573753,2382,0.0,0,20047
2022-11-07~2022-11-13,,,573753,2382,0.0,0,20047
2022-11-14~2022-11-20,,,573753,2382,0.0,0,20047
2022-11-21~2022-11-27,,,573753,2382,0.0,0,20047
2022-11-28~2022-12-04,,,573753,2382,0.0,0,20047
2022-12-05~2022-12-11,,,573753,2382,0.0,0,20047
2022-12-12~2022-12-18,,,573753,2382,0.0,0,20047
2022-12-19~2022-12-25,,,573753,2382,0.0,0,20047
2022-12-26~2023-01-01,,,573753,2382,0.0,0,20047
