MovieId,Publisher_name
28087,	 Cygames Inc.
26872, ARTE FRANCE
22960, Beyond C. Co.  Ltd.
22961, Beyond C. Co.  Ltd.
23234, Broadway on Demand
26872, CANAL+
26872, CINE+
26384, Cie
20103, Co. KG
26751, Communications  Inc.
21031, Limited
19357, Media (Singapore)
26872, ORANGE STUDIO
26140, PARTNERS
26741, PICTURES
26630, PICTURES
19000, Pictures Inc.
22113, PlusM.
23284, RELEASING LLC
23488, S.A.R.L.
24061, S.A.R.L.
23122, S.L.
29064, S.L.
25101, S.L.
29605, S.L.U.
22893, S.L.U.
21796, S.À R.L
29166, SASU
28977, SONY PICTURES RELEASING INTERNATIONAL CORPORATION.
29471, STUDIOCANAL S.A.S. 
27054, SUNRISE INC.
29481, Studiocanal S.A.S
26873, TRUE COLOURS GLORIOUS FILMS
27522, TV HOUSE LIMITED
29188, TV House Limited
26778, Warner Bros. Pictures Japan
21780, pictures Inc.
27029, pictures Inc.
29237, pictures Inc.
27445, pictures Inc.
17129, pictures Inc.
21350, pictures Inc.
28099, pictures Inc. 
27966, pictures Inc. 
27379, pictures Inc. 
27648, pictures Inc. 
29502, 牽猴子股份有限公司
20822, 英皇(北京)影視文化傳媒有限公司
22182, 英皇娛樂(香港)有限公司 
22182, 香港電影發展基金 
