MovieId,Publisher_name,PublisherId
28087,	 CYGAMES INC.,0
26872, ARTE FRANCE,1
22960, BEYOND C. CO. LTD.,2
22961, BEYOND C. CO. LTD.,2
23234, BROADWAY ON DEMAND,3
26872, CANAL+,4
26872, CINE+,6
26384, CIE,5
20103, CO. KG,7
26751, COMMUNICATIONS INC.,8
21031, LIMITED,9
19357, MEDIA (SINGAPORE),10
26872, ORANGE STUDIO,11
26140, PARTNERS,12
26741, PICTURES,13
26630, PICTURES,13
19000, PICTURES INC.,14
22113, PLUSM.,16
23284, RELEASING LLC,17
23488, S.A.R.L.,18
24061, S.A.R.L.,18
23122, S.L.,19
29064, S.L.,19
25101, S.L.,19
29605, S.L.U.,20
22893, S.L.U.,20
21796, S.À R.L,21
29166, SASU,22
28977, SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,23
29471, STUDIOCANAL S.A.S. ,25
27054, SUNRISE INC.,26
29481, STUDIOCANAL S.A.S,24
26873, TRUE COLOURS GLORIOUS FILMS,27
27522, TV HOUSE LIMITED,28
29188, TV HOUSE LIMITED,28
26778, WARNER BROS. PICTURES JAPAN,29
21780, PICTURES INC.,14
27029, PICTURES INC.,14
29237, PICTURES INC.,14
27445, PICTURES INC.,14
17129, PICTURES INC.,14
21350, PICTURES INC.,14
28099, PICTURES INC. ,15
27966, PICTURES INC. ,15
27379, PICTURES INC. ,15
27648, PICTURES INC. ,15
29502, 牽猴子股份有限公司,30
20822, 英皇(北京)影視文化傳媒有限公司,31
22182, 英皇娛樂(香港)有限公司 ,32
22182, 香港電影發展基金 ,33
