MovieId,reference_year,DayCount,Amount,Tickets
21945,2022-01-01 00:00:00,71,45065924,184178
22241,2022-01-01 00:00:00,57,19925286,82725
23147,2022-01-01 00:00:00,37,18565875,78936
22479,2022-01-01 00:00:00,55,18394205,75250
21736,2022-01-01 00:00:00,56,16890288,70736
21615,2022-01-01 00:00:00,63,14595323,59700
21222,2022-01-01 00:00:00,64,10985137,46397
21858,2022-01-01 00:00:00,47,9396972,38589
22473,2022-01-01 00:00:00,35,8631370,36581
22113,2022-01-01 00:00:00,80,8274617,35097
22239,2022-01-01 00:00:00,82,8129335,31630
21763,2022-01-01 00:00:00,69,7031402,28366
20398,2022-01-01 00:00:00,34,6374008,27087
22925,2022-01-01 00:00:00,40,6046995,25334
20981,2022-01-01 00:00:00,28,3078150,5961
23015,2022-01-01 00:00:00,27,2859530,12369
18813,2022-01-01 00:00:00,47,97300,1319
20553,2022-01-01 00:00:00,33,2697970,3489
22004,2022-01-01 00:00:00,35,2632400,11104
23248,2022-01-01 00:00:00,23,2467555,10463
23206,2022-01-01 00:00:00,12,2304050,4848
23216,2022-01-01 00:00:00,30,2260326,9913
21779,2022-01-01 00:00:00,35,2200799,8984
21823,2022-01-01 00:00:00,26,2185586,9147
20110,2022-01-01 00:00:00,28,40210,764
9051,2022-01-01 00:00:00,2,21730,99
20335,2022-01-01 00:00:00,27,1157216,4835
23214,2022-01-01 00:00:00,23,1839041,7626
23362,2022-01-01 00:00:00,9,1695300,7083
20402,2022-01-01 00:00:00,21,1627590,6888
22653,2022-01-01 00:00:00,37,1487675,6367
22221,2022-01-01 00:00:00,21,1372877,5766
21160,2022-01-01 00:00:00,35,1286488,5428
22628,2022-01-01 00:00:00,28,1154509,4881
18829,2022-01-01 00:00:00,39,851816,3584
20749,2022-01-01 00:00:00,28,828666,3543
20942,2022-01-01 00:00:00,60,729431,3464
21164,2022-01-01 00:00:00,26,707122,3034
23390,2022-01-01 00:00:00,9,487909,2093
23199,2022-01-01 00:00:00,23,487290,2137
23364,2022-01-01 00:00:00,9,427653,1952
20633,2022-01-01 00:00:00,70,377235,1675
20778,2022-01-01 00:00:00,17,347827,1532
22818,2022-01-01 00:00:00,21,333872,1476
20661,2022-01-01 00:00:00,45,286822,1327
20473,2022-01-01 00:00:00,55,187511,839
18817,2022-01-01 00:00:00,12,46740,226
20994,2022-01-01 00:00:00,14,104313,426
18794,2022-01-01 00:00:00,21,96045,406
20555,2022-01-01 00:00:00,24,67159,327
23146,2022-01-01 00:00:00,22,62440,252
20801,2022-01-01 00:00:00,15,52615,245
22754,2022-01-01 00:00:00,3,5970,47
23154,2022-01-01 00:00:00,11,55508,233
19991,2022-01-01 00:00:00,3,47770,243
19811,2022-01-01 00:00:00,1,15630,81
22858,2022-01-01 00:00:00,35,169870,798
21384,2022-01-01 00:00:00,30,96874,493
22111,2022-01-01 00:00:00,17,79962,381
18924,2022-01-01 00:00:00,28,1209573,5290
21265,2022-01-01 00:00:00,44,889361,3166
21031,2022-01-01 00:00:00,61,580693,2681
22172,2022-01-01 00:00:00,27,545017,2403
20589,2022-01-01 00:00:00,30,486654,2192
21857,2022-01-01 00:00:00,30,389055,1733
21664,2022-01-01 00:00:00,26,373187,1722
21214,2022-01-01 00:00:00,37,366227,1663
20534,2022-01-01 00:00:00,24,357999,1644
22432,2022-01-01 00:00:00,14,169954,809
20223,2022-01-01 00:00:00,70,162434,1060
22515,2022-01-01 00:00:00,20,148507,696
20134,2022-01-01 00:00:00,15,115918,540
21746,2022-01-01 00:00:00,14,99238,452
21236,2022-01-01 00:00:00,32,89968,471
20103,2022-01-01 00:00:00,20,52255,256
18291,2022-01-01 00:00:00,14,51775,220
19920,2022-01-01 00:00:00,15,38930,183
23290,2022-01-01 00:00:00,1,12945,62
22270,2022-01-01 00:00:00,39,149154,785
19372,2022-01-01 00:00:00,26,11775,56
21998,2022-01-01 00:00:00,50,365064,2014
20313,2022-01-01 00:00:00,31,207999,991
20872,2022-01-01 00:00:00,20,201584,947
21789,2022-01-01 00:00:00,18,149164,696
21263,2022-01-01 00:00:00,41,141789,811
21352,2022-01-01 00:00:00,19,75097,316
20239,2022-01-01 00:00:00,25,48345,239
22877,2022-01-01 00:00:00,16,81848,358
21045,2022-01-01 00:00:00,36,286305,1235
22739,2022-01-01 00:00:00,23,206312,972
22523,2022-01-01 00:00:00,16,42997,207
21919,2022-01-01 00:00:00,14,122233,418
20556,2022-01-01 00:00:00,19,236988,1084
21659,2022-01-01 00:00:00,23,419234,1888
