tw_id,tw_title,production_country,tw_first_release_date
21945,緊急迫降,韓國,2022-08-12
22241,機密同盟2,韓國,2022-09-08
23147,音爆浩劫,韓國,2022-11-25
22479,樂透大作戰,韓國,2022-09-30
21736,魔女二部曲：另一個她,韓國,2022-07-01
21615,嬰兒轉運站,韓國,2022-06-24
21222,犯罪都市2,韓國,2022-05-20
21858,外星+人,韓國,2022-07-27
22473,行動代號：狼狩獵,韓國,2022-09-30
22113,獵首密令,韓國,2022-08-26
22239,語意錯誤電影版,韓國,2022-09-08
21763,分手的決心,韓國,2022-07-15
20398,極速快遞,韓國,2022-01-28
22925,局中局,韓國,2022-11-04
20981,SEVENTEEN POWER OF LOVE : THE MOVIE,韓國,2022-04-20
23015,厄憶追凶,韓國,2022-11-18
18813,金派特務,韓國,2021-10-29
20553,PHANTOM: THE MUSICAL FILM,韓國,2022-02-18
22004,韓山島海戰,韓國,2022-08-19
23248,晝盲神探,韓國,2022-12-09
23206,NCT DREAM THE MOVIE : In A DREAM,韓國,2022-11-30
23216,整形帝王,韓國,2022-12-02
21779,邪門,韓國,2022-07-15
21823,非常殺手,韓國,2022-07-22
20110,獵魂者,韓國,2021-12-03
9051,燃燒烈愛,韓國,2018-06-29
20335,緣來大飯店,韓國,2021-12-30
23214,失控正義,韓國,2022-12-09
23362,共感頻率,韓國,2022-12-23
20402,無間對決,韓國,2022-01-14
22653,人生真美麗,韓國,2022-10-14
22221,界限,韓國,2022-09-02
21160,空氣殺人,韓國,2022-05-13
22628,政客誠實中2,韓國,2022-10-07
18829,衝鋒戰士劇場版：翁法洛斯島的秘密,韓國,2022-07-01
20749,奇怪的數學家,韓國,2022-03-18
20942,超跑斯特拉,韓國,2022-04-29
21164,死亡預報,韓國,2022-05-13
23390,碰碰狐音樂電影:奇幻城嘉年華,韓國,2022-12-23
23199,王者製造,韓國,2022-12-02
23364,花路阿朱媽,韓國,2022-12-23
20633,遊走塵市間,韓國,2022-03-18
20778,為人民服務,韓國,2022-03-25
22818,笑子當老大,韓國,2022-10-28
20661,茲山魚譜,韓國,2022-03-11
20473,亡命陷阱,韓國,2022-01-28
18817,引言,韓國,2021-12-24
20994,春川神秘中邪事件,韓國,2022-04-29
18794,無人之境,韓國,2022-01-21
20555,在你面前,韓國,2022-04-15
23146,小說家電影,韓國,2022-12-09
20801,阿爸休假中,韓國,2022-04-22
22754,時間之舞,韓國,2022-10-24
23154,閨蜜大狂殺,澳洲,2022-12-16
19991,花果飄零,澳洲,2022-03-04
19811,浮生,澳洲,2022-03-13
22858,海鷗來過的房間,澳門,2022-11-11
21384,黎巴嫩的天空,黎巴嫩,2022-06-10
22111,聽見心嘻望,摩洛哥,2022-09-23
18924,瑪雅蜜蜂大冒險：守護小金蛋,德國,2022-02-25
21265,PINA,德國,2022-06-02
21031,詭棋,德國,2022-05-13
22172,米婭的精靈王國,德國,2022-08-26
20589,再見列寧！,德國,2022-03-11
21857,非戀人絮語,德國,2022-08-05
21664,永別了，柏林,德國,2022-07-29
21214,自然就樹美,德國,2022-06-02
20534,我是你的完美男友,德國,2022-02-25
22432,逃出風暴,德國,2022-10-28
20223,鄰危不亂,德國,2022-01-07
22515,趴兔青春期,德國,2022-10-21
20134,指考風暴,德國,2022-04-01
21746,泳漾水男孩,德國,2022-08-19
21236,熟女解放中,德國,2022-06-10
20103,騎趣環世界,德國,2021-12-30
18291,型男斷捨離,德國,2022-02-11
19920,人性遊戲,德國,2022-01-07
23290,蘿拉快跑,德國,2022-12-17
22270,危雞總動員,墨西哥,2022-09-23
19372,達賴喇嘛:大腦故事 ,義大利,2021-11-12
21998,請為我在羅馬多留一天,義大利,2022-09-08
20313,非甜蜜生活,義大利,2021-12-28
20872,真愛超能力,義大利,2022-04-29
21789,洞,義大利,2022-07-22
21263,愛在書店相遇時,義大利,2022-06-02
21352,隔離巢,義大利,2022-06-17
20239,戰地夜曲,義大利,2022-07-01
22877,星夢性快感,瑞典,2022-11-11
21045,阿哈：帶我走,瑞士,2022-05-13
22739,瑞士鐘錶師,瑞士,2022-11-04
22523,女孩與蜘蛛,瑞士,2022-12-02
21919,妖街皇后,新加坡,2022-09-23
20556,愛你讓我自由,奧地利,2022-03-25
21659,黑貓白貓：4K數位修復版,塞爾維亞,2022-08-12
22648,替屍鬼2：詛咒再臨,越南,2022-10-07
20460,鬼電梯,越南,2022-02-18
20975,越驚,越南,2022-04-22
20929,祖怨,越南,2022-04-15
22309,迷霧中的孩子,越南,2022-09-23
19408,逃出奧斯威辛,斯洛伐克,2021-10-01
22895,喬治亞天空下 ,喬治亞,2022-11-18
20336,慕夏狂潮：從崛起到永恆,捷克,2022-01-14
19627,勇鼠闖天堂,捷克,2022-02-04
21740,浪浪回家路,捷克,2022-07-22
21626,野蠻人入侵,馬來西亞,2022-07-15
18629,亞馬遜守護者：安珀傳奇(英語版),秘魯,2022-01-13
21223,格列佛遊記：重返小人國,烏克蘭,2022-08-26
22198,沒有煙硝的日子,烏克蘭,2022-12-29
20265,2gether電影版：只因我們天生一對,泰國,2021-12-24
21115,猛鬼大學：第2學期,泰國,2022-05-13
21436,鬼單眼,泰國,2022-07-22
20654,凝弒,泰國,2022-03-11
23289,魔蟲禁區,泰國,2022-12-16
21210,淒厲人僧：卡到陰,泰國,2022-05-20
23085,愛情需要編劇,泰國,2022-11-18
21066,愛在暹邏：數位經典版,泰國,2022-05-18
20314,記憶,泰國,2021-12-25
20413,波米叔叔的前世今生,泰國,2010-11-26
22110,超級蜥蜴王,泰國,2022-09-02
20365,世界上最爛的人,挪威,2022-01-01
21974,愛重奏,挪威,2022-09-02
22265,詭孩,挪威,2022-10-28
19764,忍者寶寶,挪威,2022-01-14
20672,秋月,香港,2022-03-06
19859,梅艷芳,香港,2021-11-12
19159,怒火,香港,2021-10-22
20822,神探大戰,香港,2022-08-19
16476,麥路人,香港,2020-09-17
21732,花樣年華 4K數位修復版,香港,2022-09-16
7331,春光乍洩,香港,1997-06-07
20716,重慶森林 4K數位修復版,香港,2022-04-22
18149,墮落天使  4K數位修復版,香港,2021-02-19
9993,阿飛正傳,香港,1990-12-22
20763,胭脂扣,香港,1987-12-05
22420,飯戲攻心,香港,2022-09-23
22876,智齒,香港,2022-12-23
20565,少年,香港,2022-04-08
20343,G風暴,香港,2020-01-30
20702,阮玲玉,香港,1991-11-29
20741,英雄本色,香港,1986-08-08
21747,闔家辣,香港,2022-07-22
10916,霸王別姬(數位修復版),香港,1993-12-10
22182,媽的星寵兒,香港,2022-09-02
21786,七人樂隊,香港,2022-07-22
22631,憂鬱之島,香港,2022-11-20
21047,邊緣行者,香港,2022-05-06
20697,秋天的童話,香港,1987-07-03
21801,繼園臺七號,香港,2022-09-21
23391,正義迴廊,香港,2022-12-30
21812,美少年之戀,香港,2022-09-23
21517,喜歡妳是妳,香港,2022-07-15
22231,一路瞳行,香港,2022-09-08
23317,無間道,香港,2022-12-30
22434,失衡凶間,香港,2022-10-07
22085,玫瑰的故事,香港,2022-09-23
21978,流金歲月,香港,2022-09-23
22435,心裏美,香港,2022-09-30
20671,愛在他鄉的季節,香港,2022-03-05
21123,海上花,香港,2022-09-23
20673,遇上1967的女神,香港,2022-03-12
23367,無間道II,香港,2022-12-30
23349,無間道III：終極無間,香港,2022-12-30
23339,過時·過節,香港,2022-12-22
20410,出租女友,香港,2022-01-14
22758,流浪者之歌,英國,2022-10-21
22755,卡拉之歌,英國,2022-10-21
20515,時代革命,英國,2022-02-25
15965,末代皇帝（數位修復版）,英國,1988-04-23
21389,們,英國,2022-05-31
7689,發條橘子,英國,2017-12-29
22525,瘋狂富作用,英國,2022-10-07
21017,鯊顫,英國,2022-05-13
20802,餐廳失控夜,英國,2022-04-01
22117,士兵與軍官,英國,2022-09-02
21312,伊恩•麥克連 80歲個人秀巡迴演出（英國國家劇院現場）,英國,2022-06-11
20693,極限逃殺,英國,2022-03-18
22611,如果驢知道,英國,2022-12-02
19272,算牌手,英國,2021-09-17
21758,法蘭克札帕：從前衛到當代,英國,2022-07-29
21906,我們的英搖時光,英國,2022-08-12
20076,愛上費加洛,英國,2021-12-17
21268,羅密歐與茱麗葉（英國國家劇院現場）,英國,2022-06-10
18530,裸體午餐,英國,1992-03-14
23342,初步舉證,英國,2022-12-20
14480,超速性追緝,英國,1996-10-25
21515,利奥波德城（英國國家劇院現場）,英國,2022-06-14
22260,性愛成癮的男人,英國,2022-09-23
22407,丹尼爾約翰斯頓：魔鬼詩篇,英國,2022-09-23
14021,遮蔽的天空,英國,2022-01-21
20827,瑪莉娜的512小時,英國,2022-04-15
20418,波西米亞人（英國皇家歌劇院）,英國,2022-02-10
20519,馬克白（英國皇家歌劇院）,英國,2022-02-10
11227,山那邊的青稞田,英國,2019-01-18
23320,夢迴西藏：軍官與達賴喇嘛,英國,2022-12-30
21869,偷香 數位修復版,英國,2022-08-05
20337,曼儂‧雷斯科（英國皇家歌劇院）,英國,2022-02-10
22880,大製片家,英國,2022-11-25
20291,毫無意義,英國,2022-01-07
20293,兩情世界,英國,2022-01-07
20292,打擊驚魂,英國,2022-01-07
20290,小心女人,英國,2022-01-07
21117,捍衛戰士: 獨行俠,美國,2022-05-23
20189,蜘蛛人：無家日,美國,2021-12-15
23322,阿凡達：水之道,美國,2022-12-16
21161,侏羅紀世界: 統霸天下,美國,2022-06-08
19885,永恆族,美國,2021-11-03
23049,黑豹 2：瓦干達萬歲,美國,2022-11-09
21054,奇異博士2：失控多重宇宙,美國,2022-05-04
21741,雷神索爾：愛與雷霆,美國,2022-07-06
20277,金牌特務：金士曼起源,美國,2021-12-30
19639,猛毒2：血蜘蛛,美國,2021-10-13
19182,沙丘,美國,2021-09-16
19468,007 生死交戰,美國,2021-09-29
19150,尚氣與十環傳奇,美國,2021-09-02
22676,黑亞當,美國,2022-10-19
20810,小小兵2:格魯的崛起,美國,2022-07-01
20587,蝙蝠俠,美國,2022-03-03
20863,怪獸與鄧不利多的秘密,美國,2022-04-14
21777,子彈列車,美國,2022-08-03
20539,秘境探險,美國,2022-02-17
18984,脫稿玩家,美國,2021-08-12
20828,媽的多重宇宙,美國,2022-04-22
20215,駭客任務：復活,美國,2021-12-22
20484,月球隕落,美國,2022-02-03
19984,惡靈古堡首部曲：拉昆市,美國,2021-11-26
20786,魔比斯,美國,2022-04-01
18891,黑寡婦,美國,2021-07-14
21422,巴斯光年(英文版),美國,2022-06-17
20470,尼羅河謀殺案,美國,2022-02-11
20050,魔法滿屋,美國,2021-11-26
22373,微笑,美國,2022-09-30
20210,歡樂好聲音 2,美國,2022-01-28
20748,失落謎城,美國,2022-04-08
21742,雷神索爾：愛與雷霆,美國,2022-07-06
20580,劫命救護,美國,2022-03-25
21821,孤兒怨2：最黑暗的過去,美國,2022-08-26
20212,GUCCI：豪門謀殺案,美國,2022-01-07
20635,壞蛋聯盟,美國,2022-03-18
18983,汪汪隊立大功電影版,美國,2021-09-17
22355,幸福入場券,美國,2022-10-07
20820,音速小子 2,美國,2022-04-01
22663,五星饗魘,美國,2022-12-02
18759,厲陰宅3：是惡魔逼我的,美國,2021-07-22
22416,阿凡達 (A版),美國,2022-09-23
21896,不!,美國,2022-08-12
21837,DC超級寵物軍團(英文版),美國,2022-08-09
18014,捍衛救援,美國,2021-01-20
18846,路卡的夏天,美國,2021-08-06
19955,魔鬼剋星：未來世,美國,2021-12-31
20403,夜路,美國,2022-01-28
21582,貓王艾維斯,美國,2022-06-23
19688,法蘭西特派週報,美國,2021-12-10
18925,寶貝老闆：家大業大,美國,2021-10-08
22337,墜,美國,2022-09-16
18816,殺手保鑣2,美國,2021-10-08
23155,決戰38度線,美國,2022-12-02
20582,黑光行動,美國,2022-02-25
18866,密弒遊戲2：勝者危亡,美國,2021-09-17
19161,疾厄,美國,2021-09-02
22879,鬼禱,美國,2022-10-28
20241,闇黑電話,美國,2022-07-01
20925,超吉任務,美國,2022-04-22
7858,以你的名字呼喚我,美國,2018-01-12
20104,哈利波特：神秘的魔法石,美國,2001-11-16
18958,暫時停止呼吸2,美國,2021-08-20
18824,疾凍救援,美國,2021-09-24
23153,暴戾夜,美國,2022-12-02
20294,355：諜影特攻,美國,2022-01-19
19817,天兵阿榮,美國,2021-10-29
23138,奇異冒險 (英文版),美國,2022-11-25
20240,驚聲尖叫,美國,2022-01-14
19964,迷離夜蘇活,美國,2021-11-12
19786,王者理查,美國,2021-11-18
21867,沼澤謀殺案,美國,2022-10-07
22530,阿姆斯特丹,美國,2022-10-07
19308,月光光新慌慌：萬聖殺,美國,2021-10-22
18430,夢想之地,美國,2021-04-23
20137,阿達一族 2,美國,2021-12-30
22195,拉辛正傳,美國,2022-09-08
19919,大紅狗克里弗,美國,2021-12-10
22245,別擔心親愛的,美國,2022-09-16
20982,記憶殺神,美國,2022-04-29
22652,月光光新慌慌：萬聖結,美國,2022-10-14
19783,史賓賽,美國,2021-11-05
23144,鞋貓劍客 2,美國,2022-09-23
22924,骨肉的總和,美國,2022-11-24
22115,三千年的渴望,美國,2022-09-02
22476,哥兒們,美國,2022-10-19
19657,鹿魔,美國,2021-11-12
19539,最後的決鬥,美國,2021-10-15
22242,看你往哪跑,美國,2022-09-16
20362,西城故事,美國,2022-01-21
21942,獸,美國,2022-08-19
22328,捍衛戰士,美國,2022-09-18
21719,喜悅：達賴喇嘛遇見屠圖主教,美國,2022-07-22
20459,娶我吧!,美國,2022-02-11
22116,世紀婚魘,美國,2022-09-02
21930,天黑請斃命,美國,2022-08-19
9023,2001太空漫遊,美國,2018-06-04
20394,王牌冤家,美國,2022-02-11
22397,毛骨悚然：惡魔重生,美國,2022-09-23
20356,死間行動,美國,2022-04-29
22308,刀鋒劍客(英語版),美國,2022-09-30
9986,鬼店,美國,2018-09-28
20770,救命緝約,美國,2022-03-25
23321,與你共舞,美國,2022-12-30
22222,蜘蛛人：無家日 戲院加長版,美國,2022-09-02
23084,她有話要說,美國,2022-11-18
19659,達賴的一生,美國,2022-07-08
