tw_id,production_country,tw_title,tw_release_date
21945,韓國,緊急迫降,2022-08-12
22241,韓國,機密同盟2,2022-09-08
23147,韓國,音爆浩劫,2022-11-25
22479,韓國,樂透大作戰,2022-09-30
21736,韓國,魔女二部曲：另一個她,2022-07-01
21615,韓國,嬰兒轉運站,2022-06-24
21222,韓國,犯罪都市2,2022-05-20
21858,韓國,外星+人,2022-07-27
22473,韓國,行動代號：狼狩獵,2022-09-30
22113,韓國,獵首密令,2022-08-26
22239,韓國,語意錯誤電影版,2022-09-08
21763,韓國,分手的決心,2022-07-15
20398,韓國,極速快遞,2022-01-28
22925,韓國,局中局,2022-11-04
20981,韓國,SEVENTEEN POWER OF LOVE : THE MOVIE,2022-04-20
23015,韓國,厄憶追凶,2022-11-18
18813,韓國,金派特務,2021-10-29
20553,韓國,PHANTOM: THE MUSICAL FILM,2022-02-18
22004,韓國,韓山島海戰,2022-08-19
23248,韓國,晝盲神探,2022-12-09
23206,韓國,NCT DREAM THE MOVIE : In A DREAM,2022-11-30
23216,韓國,整形帝王,2022-12-02
21779,韓國,邪門,2022-07-15
21823,韓國,非常殺手,2022-07-22
20110,韓國,獵魂者,2021-12-03
9051,韓國,燃燒烈愛,2018-06-29
20335,韓國,緣來大飯店,2021-12-30
23214,韓國,失控正義,2022-12-09
23362,韓國,共感頻率,2022-12-23
20402,韓國,無間對決,2022-01-14
22653,韓國,人生真美麗,2022-10-14
22221,韓國,界限,2022-09-02
21160,韓國,空氣殺人,2022-05-13
22628,韓國,政客誠實中2,2022-10-07
18829,韓國,衝鋒戰士劇場版：翁法洛斯島的秘密,2022-07-01
20749,韓國,奇怪的數學家,2022-03-18
20942,韓國,超跑斯特拉,2022-04-29
21164,韓國,死亡預報,2022-05-13
23390,韓國,碰碰狐音樂電影:奇幻城嘉年華,2022-12-23
23199,韓國,王者製造,2022-12-02
23364,韓國,花路阿朱媽,2022-12-23
20633,韓國,遊走塵市間,2022-03-18
20778,韓國,為人民服務,2022-03-25
22818,韓國,笑子當老大,2022-10-28
20661,韓國,茲山魚譜,2022-03-11
20473,韓國,亡命陷阱,2022-01-28
18817,韓國,引言,2021-12-24
20994,韓國,春川神秘中邪事件,2022-04-29
18794,韓國,無人之境,2022-01-21
20555,韓國,在你面前,2022-04-15
23146,韓國,小說家電影,2022-12-09
20801,韓國,阿爸休假中,2022-04-22
22754,韓國,時間之舞,2022-10-24
23154,澳洲,閨蜜大狂殺,2022-12-16
19991,澳洲,花果飄零,2022-03-04
19811,澳洲,浮生,2022-03-13
22858,澳門,海鷗來過的房間,2022-11-11
21384,黎巴嫩,黎巴嫩的天空,2022-06-10
22111,摩洛哥,聽見心嘻望,2022-09-23
18924,德國,瑪雅蜜蜂大冒險：守護小金蛋,2022-02-25
21265,德國,PINA,2022-06-02
21031,德國,詭棋,2022-05-13
22172,德國,米婭的精靈王國,2022-08-26
20589,德國,再見列寧！,2022-03-11
21857,德國,非戀人絮語,2022-08-05
