tw_id,tw_title,tw_first_release_date
21945,緊急迫降,2022-08-12
22241,機密同盟2,2022-09-08
23147,音爆浩劫,2022-11-25
22479,樂透大作戰,2022-09-30
21736,魔女二部曲：另一個她,2022-07-01
21615,嬰兒轉運站,2022-06-24
21222,犯罪都市2,2022-05-20
21858,外星+人,2022-07-27
22473,行動代號：狼狩獵,2022-09-30
22113,獵首密令,2022-08-26
22239,語意錯誤電影版,2022-09-08
21763,分手的決心,2022-07-15
20398,極速快遞,2022-01-28
22925,局中局,2022-11-04
20981,SEVENTEEN POWER OF LOVE : THE MOVIE,2022-04-20
23015,厄憶追凶,2022-11-18
18813,金派特務,2021-10-29
20553,PHANTOM: THE MUSICAL FILM,2022-02-18
22004,韓山島海戰,2022-08-19
23248,晝盲神探,2022-12-09
23206,NCT DREAM THE MOVIE : In A DREAM,2022-11-30
23216,整形帝王,2022-12-02
21779,邪門,2022-07-15
21823,非常殺手,2022-07-22
20110,獵魂者,2021-12-03
9051,燃燒烈愛,2018-06-29
20335,緣來大飯店,2021-12-30
23214,失控正義,2022-12-09
23362,共感頻率,2022-12-23
20402,無間對決,2022-01-14
22653,人生真美麗,2022-10-14
22221,界限,2022-09-02
21160,空氣殺人,2022-05-13
22628,政客誠實中2,2022-10-07
18829,衝鋒戰士劇場版：翁法洛斯島的秘密,2022-07-01
20749,奇怪的數學家,2022-03-18
20942,超跑斯特拉,2022-04-29
21164,死亡預報,2022-05-13
23390,碰碰狐音樂電影:奇幻城嘉年華,2022-12-23
23199,王者製造,2022-12-02
23364,花路阿朱媽,2022-12-23
20633,遊走塵市間,2022-03-18
20778,為人民服務,2022-03-25
22818,笑子當老大,2022-10-28
20661,茲山魚譜,2022-03-11
20473,亡命陷阱,2022-01-28
18817,引言,2021-12-24
20994,春川神秘中邪事件,2022-04-29
18794,無人之境,2022-01-21
20555,在你面前,2022-04-15
23146,小說家電影,2022-12-09
20801,阿爸休假中,2022-04-22
22754,時間之舞,2022-10-24
23154,閨蜜大狂殺,2022-12-16
19991,花果飄零,2022-03-04
19811,浮生,2022-03-13
22858,海鷗來過的房間,2022-11-11
21384,黎巴嫩的天空,2022-06-10
22111,聽見心嘻望,2022-09-23
18924,瑪雅蜜蜂大冒險：守護小金蛋,2022-02-25
21265,PINA,2022-06-02
21031,詭棋,2022-05-13
22172,米婭的精靈王國,2022-08-26
20589,再見列寧！,2022-03-11
21857,非戀人絮語,2022-08-05
21664,永別了，柏林,2022-07-29
21214,自然就樹美,2022-06-02
20534,我是你的完美男友,2022-02-25
22432,逃出風暴,2022-10-28
20223,鄰危不亂,2022-01-07
22515,趴兔青春期,2022-10-21
20134,指考風暴,2022-04-01
21746,泳漾水男孩,2022-08-19
21236,熟女解放中,2022-06-10
20103,騎趣環世界,2021-12-30
18291,型男斷捨離,2022-02-11
19920,人性遊戲,2022-01-07
23290,蘿拉快跑,2022-12-17
22270,危雞總動員,2022-09-23
19372,達賴喇嘛:大腦故事 ,2021-11-12
21998,請為我在羅馬多留一天,2022-09-08
20313,非甜蜜生活,2021-12-28
20872,真愛超能力,2022-04-29
21789,洞,2022-07-22
21263,愛在書店相遇時,2022-06-02
21352,隔離巢,2022-06-17
20239,戰地夜曲,2022-07-01
22877,星夢性快感,2022-11-11
21045,阿哈：帶我走,2022-05-13
22739,瑞士鐘錶師,2022-11-04
22523,女孩與蜘蛛,2022-12-02
21919,妖街皇后,2022-09-23
20556,愛你讓我自由,2022-03-25
21659,黑貓白貓：4K數位修復版,2022-08-12
22648,替屍鬼2：詛咒再臨,2022-10-07
20460,鬼電梯,2022-02-18
20975,越驚,2022-04-22
20929,祖怨,2022-04-15
22309,迷霧中的孩子,2022-09-23
19408,逃出奧斯威辛,2021-10-01
22895,喬治亞天空下 ,2022-11-18
20336,慕夏狂潮：從崛起到永恆,2022-01-14
19627,勇鼠闖天堂,2022-02-04
21740,浪浪回家路,2022-07-22
21626,野蠻人入侵,2022-07-15
18629,亞馬遜守護者：安珀傳奇(英語版),2022-01-13
21223,格列佛遊記：重返小人國,2022-08-26
22198,沒有煙硝的日子,2022-12-29
20265,2gether電影版：只因我們天生一對,2021-12-24
21115,猛鬼大學：第2學期,2022-05-13
21436,鬼單眼,2022-07-22
20654,凝弒,2022-03-11
23289,魔蟲禁區,2022-12-16
21210,淒厲人僧：卡到陰,2022-05-20
23085,愛情需要編劇,2022-11-18
21066,愛在暹邏：數位經典版,2022-05-18
20314,記憶,2021-12-25
20413,波米叔叔的前世今生,2010-11-26
22110,超級蜥蜴王,2022-09-02
20365,世界上最爛的人,2022-01-01
21974,愛重奏,2022-09-02
22265,詭孩,2022-10-28
19764,忍者寶寶,2022-01-14
20672,秋月,2022-03-06
19859,梅艷芳,2021-11-12
19159,怒火,2021-10-22
20822,神探大戰,2022-08-19
16476,麥路人,2020-09-17
21732,花樣年華 4K數位修復版,2022-09-16
7331,春光乍洩,1997-06-07
20716,重慶森林 4K數位修復版,2022-04-22
18149,墮落天使  4K數位修復版,2021-02-19
9993,阿飛正傳,1990-12-22
20763,胭脂扣,1987-12-05
22420,飯戲攻心,2022-09-23
22876,智齒,2022-12-23
20565,少年,2022-04-08
20343,G風暴,2020-01-30
20702,阮玲玉,1991-11-29
20741,英雄本色,1986-08-08
21747,闔家辣,2022-07-22
10916,霸王別姬(數位修復版),1993-12-10
22182,媽的星寵兒,2022-09-02
21786,七人樂隊,2022-07-22
22631,憂鬱之島,2022-11-20
21047,邊緣行者,2022-05-06
20697,秋天的童話,1987-07-03
21801,繼園臺七號,2022-09-21
23391,正義迴廊,2022-12-30
21812,美少年之戀,2022-09-23
21517,喜歡妳是妳,2022-07-15
22231,一路瞳行,2022-09-08
23317,無間道,2022-12-30
22434,失衡凶間,2022-10-07
22085,玫瑰的故事,2022-09-23
21978,流金歲月,2022-09-23
22435,心裏美,2022-09-30
20671,愛在他鄉的季節,2022-03-05
21123,海上花,2022-09-23
20673,遇上1967的女神,2022-03-12
23367,無間道II,2022-12-30
23349,無間道III：終極無間,2022-12-30
23339,過時·過節,2022-12-22
20410,出租女友,2022-01-14
22758,流浪者之歌,2022-10-21
22755,卡拉之歌,2022-10-21
20515,時代革命,2022-02-25
15965,末代皇帝（數位修復版）,1988-04-23
21389,們,2022-05-31
7689,發條橘子,2017-12-29
22525,瘋狂富作用,2022-10-07
21017,鯊顫,2022-05-13
20802,餐廳失控夜,2022-04-01
22117,士兵與軍官,2022-09-02
21312,伊恩•麥克連 80歲個人秀巡迴演出（英國國家劇院現場）,2022-06-11
20693,極限逃殺,2022-03-18
22611,如果驢知道,2022-12-02
19272,算牌手,2021-09-17
21758,法蘭克札帕：從前衛到當代,2022-07-29
21906,我們的英搖時光,2022-08-12
20076,愛上費加洛,2021-12-17
21268,羅密歐與茱麗葉（英國國家劇院現場）,2022-06-10
18530,裸體午餐,1992-03-14
23342,初步舉證,2022-12-20
14480,超速性追緝,1996-10-25
21515,利奥波德城（英國國家劇院現場）,2022-06-14
22260,性愛成癮的男人,2022-09-23
22407,丹尼爾約翰斯頓：魔鬼詩篇,2022-09-23
14021,遮蔽的天空,2022-01-21
20827,瑪莉娜的512小時,2022-04-15
20418,波西米亞人（英國皇家歌劇院）,2022-02-10
20519,馬克白（英國皇家歌劇院）,2022-02-10
11227,山那邊的青稞田,2019-01-18
23320,夢迴西藏：軍官與達賴喇嘛,2022-12-30
21869,偷香 數位修復版,2022-08-05
20337,曼儂‧雷斯科（英國皇家歌劇院）,2022-02-10
22880,大製片家,2022-11-25
20291,毫無意義,2022-01-07
20293,兩情世界,2022-01-07
20292,打擊驚魂,2022-01-07
20290,小心女人,2022-01-07
21117,捍衛戰士: 獨行俠,2022-05-23
20189,蜘蛛人：無家日,2021-12-15
23322,阿凡達：水之道,2022-12-16
21161,侏羅紀世界: 統霸天下,2022-06-08
19885,永恆族,2021-11-03
23049,黑豹 2：瓦干達萬歲,2022-11-09
21054,奇異博士2：失控多重宇宙,2022-05-04
21741,雷神索爾：愛與雷霆,2022-07-06
20277,金牌特務：金士曼起源,2021-12-30
19639,猛毒2：血蜘蛛,2021-10-13
19182,沙丘,2021-09-16
19468,007 生死交戰,2021-09-29
19150,尚氣與十環傳奇,2021-09-02
22676,黑亞當,2022-10-19
20810,小小兵2:格魯的崛起,2022-07-01
20587,蝙蝠俠,2022-03-03
20863,怪獸與鄧不利多的秘密,2022-04-14
21777,子彈列車,2022-08-03
20539,秘境探險,2022-02-17
18984,脫稿玩家,2021-08-12
20828,媽的多重宇宙,2022-04-22
20215,駭客任務：復活,2021-12-22
20484,月球隕落,2022-02-03
19984,惡靈古堡首部曲：拉昆市,2021-11-26
20786,魔比斯,2022-04-01
18891,黑寡婦,2021-07-14
21422,巴斯光年(英文版),2022-06-17
20470,尼羅河謀殺案,2022-02-11
20050,魔法滿屋,2021-11-26
22373,微笑,2022-09-30
20210,歡樂好聲音 2,2022-01-28
20748,失落謎城,2022-04-08
21742,雷神索爾：愛與雷霆,2022-07-06
20580,劫命救護,2022-03-25
21821,孤兒怨2：最黑暗的過去,2022-08-26
20212,GUCCI：豪門謀殺案,2022-01-07
20635,壞蛋聯盟,2022-03-18
18983,汪汪隊立大功電影版,2021-09-17
22355,幸福入場券,2022-10-07
20820,音速小子 2,2022-04-01
22663,五星饗魘,2022-12-02
18759,厲陰宅3：是惡魔逼我的,2021-07-22
22416,阿凡達 (A版),2022-09-23
21896,不!,2022-08-12
21837,DC超級寵物軍團(英文版),2022-08-09
18014,捍衛救援,2021-01-20
18846,路卡的夏天,2021-08-06
19955,魔鬼剋星：未來世,2021-12-31
