MovieId,Publisher_name,PublisherId
28087,CYGAMES INC.,151
26872,ARTE FRANCE,50
22960,BEYOND C. CO. LTD.,82
22961,BEYOND C. CO. LTD.,82
23234,BROADWAY ON DEMAND,94
26872,CANAL+,99
26872,CINE+,120
26384,CIE,119
20103,CO. KG,141
26751,COMMUNICATIONS INC.,143
21031,LIMITED,337
19357,MEDIA (SINGAPORE),375
26872,ORANGE STUDIO,428
26140,PARTNERS,441
26741,PICTURES,449
26630,PICTURES,449
19000,PICTURES INC.,450
22113,PLUSM.,453
23284,RELEASING LLC,479
23488,S.A.R.L.,486
24061,S.A.R.L.,486
23122,S.L.,487
29064,S.L.,487
25101,S.L.,487
29605,S.L.U.,488
22893,S.L.U.,488
21796,S.À R.L,489
29166,SASU,493
28977,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,519
29471,STUDIOCANAL S.A.S.,530
27054,SUNRISE INC.,533
29481,STUDIOCANAL S.A.S,529
26873,TRUE COLOURS GLORIOUS FILMS,591
27522,TV HOUSE LIMITED,599
29188,TV HOUSE LIMITED,599
26778,WARNER BROS. PICTURES JAPAN,625
21780,PICTURES INC.,450
27029,PICTURES INC.,450
29237,PICTURES INC.,450
27445,PICTURES INC.,450
17129,PICTURES INC.,450
21350,PICTURES INC.,450
28099,PICTURES INC.,450
27966,PICTURES INC.,450
27379,PICTURES INC.,450
27648,PICTURES INC.,450
29502,牽猴子股份有限公司,1256
20822,英皇(北京)影視文化傳媒有限公司,1357
22182,英皇娛樂(香港)有限公司,1358
22182,香港電影發展基金,1502
6215,&#X4E0A;&#X6D77;&#X9A30;&#X8A0A;&#X5F71;&#X696D;&#X6587;&#X5316;&#X50B3;&#X64AD;&#X6709;&#X9650;&#X516C;&#X53F8;&#X3001;&#X970D;&#X723E;&#X679C;&#X65AF;&#X9752;&#X6625;&#X5149;&#X7DDA;&#X5F71;&#X696D;&#X6709;&#X9650;&#X516C;&#X53F8;&#X3001;&#X5929;&#X6D25;&#X4E94;&#X516B;&#X540C;&#X57CE;&#X5F71;&#X8996;&#X6587;&#X5316;&#X6709;&#X9650;&#X516C;&#X53F8;&#X3001;&#X970D;&#X723E;&#X679C;&#X65AF;&#X6625;&#X5929;&#X878D;&#X5408;&#X50B3;&#X5A92;&#X6709;&#X9650;&#X516C;&#X53F8;&#X3001;&#X6D59;&#X6C5F;&#X967D;&#X5149;&#X5F71;&#X696D;&#X80A1;&#X4EFD;&#X6709;&#X9650;&#X516C;&#X53F8;&#X3001;&#X5317;&#X4EAC;&#X5B89;&#X745E;&#X5F71;&#X8996;&#X6587;&#X5316;&#X50B3;&#X5A92;&#X6709;&#X9650;&#X516C;&#X53F8;&#X3001;&#X5317;&#X4EAC;&#X7FA4;&#X82F1;&#X8588;&#X5F71;&#X696D;&#X6587;&#X5316;&#X6709;&#X9650;&#X516C;&#X53F8;&#X3001;&#X970D;&#X723E;&#X679C;&#X65AF;&#X5E02;&#X5343;&#X6613;&#X5FD7;&#X8AA0;&#X6587;&#X5316;&#X50B3;&#X5A92;&#X6709;&#X9650;&#X516C;&#X53F8;&#X3001;&#X4E0A;&#X6D77;&#X95AC;&#X6620;&#X5F71;&#X8996;&#X6587;&#X5316;&#X50B3;&#X5A92;&#X6709;&#X9650;&#X516C;&#X53F8;,0
6252,(德國)THE MATCH FACTORY GMBH,1
8873,(法國) CELLULOID DREAMS SAS,2
8878,(法國) CELLULOID DREAMS SAS,2
8747,(法國)CELLULOID DREAMS SAS,3
8749,(法國)CELLULOID DREAMS SAS,3
8693,(法國)DOC AND FILM INTERNATIONAL,4
9159,(法國)DOC AND FILM INTERNATIONAL,4
5643,(法國)FILMS SANS FRONTIERES,5
5666,(法國)FILMS SANS FRONTIERES,5
9952,(法國)MK2,6
19639,(美國)SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,7
27723,(聯合出品)合名實業有限公司,8
27723,(聯合出品)基翔影視有限公司,9
27723,(聯合出品)平天下電影娛樂有限公司,10
7689,(英國)PARK CIRCUS LIMITED,11
9993,(英屬維京群島)EAST ASIA FILMS DISTRIBUTION LIMITED,12
9993,(香港)ESUN.COM LIMITED,13
7777,(香港)INFINITY ENTERTAINMENT LTD.,14
28166,. LTD,15
21384,1982 PRODUCTIONS LLC,16
20565,1984工作室,17
25737,1988廣告製作有限公司,18
21786,8028控股有限公司,19
28167,852 FILMS,20
24046,A24 INTERNATIONAL LLC,21
20828,A24 INTERNATIONAL LLC,21
18430,A24 INTERNATIONAL LLC,21
20415,ABC ANIMATION INC.,22
21310,ABC ANIMATION INC.,22
17110,ABC ANIMATION INC.,22
29733,ABS-CBN FILM PRODUCTIONS INC.,23
24259,ACE ENTERTAINMENT FILMS INC,26
21796,ACE HOLDINGS,27
26502,ADK EMOTIONS INC.,29
28240,ADK EMOTIONS INC.,29
19157,ADK EMOTIOS INC.,30
21864,ADK EMOTIOS INC.,30
23826,ADK EMOTIONS INC.,29
24939,ADK EMOTIONS INC.,29
29465,ADK EMOTIONS INC.,29
26384,AGAT FILMS,31
20191,ALIEF SAS.,34
26880,ALTERNA INC.,37
28507,ALTITUDE FILM SALES LIMITED,38
21017,ALTITUDE FILM SALES LIMITED,38
23311,AMBI EXCLUSIVE ACQUISITION CO. LLC,39
26648,AMUSE INC.,40
25429,ANGEL STUDIOS LICENSING LLC,41
25776,ANIPLEX INC.,46
29085,ANTON CAPITAL ENTERTAINMENT S.A.,47
17242,ARGOS FILMS SA,48
20533,ARI PRODUCTION株式會社,49
28411,ARTHOOD ENTERTAINMENT GMBH.,52
22198,ARTHOOD ENTERTAINMENT GMBH.,52
25305,ASIAN SHADOWS INTERNATIONAL SALES LIMITED,54
23784,ASMIK ACE  INC,55
21928,ASMIK ACE INC.,56
21627,ASMIK ACE INC.,56
21718,ASMIK ACE INC.,56
20684,ASMIK ACE INC.,56
22239,ATRIUM PRODUCTIONS KFT,58
23652,ATRIUM PRODUCTIONS KFT.,59
23214,ATRIUM PRODUCTIONS KFT.,59
23752,ATRIUM PRODUCTIONS KFT.,59
29400,ATRIUM PRODUCTIONS KFT.,59
20520,AVEX PICTURES INC.,64
20535,AVEX PICTURES INC.,64
20484,ACCELERATED GLOBAL CONTENT LLC,24
24086,ACCESS TELEVISION JAPAN LTD,25
26364,ADACHI MASAO SCREENING COMMITTEE,28
26366,ADACHI MASAO SCREENING COMMITTEE,28
26365,ADACHI MASAO SCREENING COMMITTEE,28
26363,ADACHI MASAO SCREENING COMMITTEE,28
28363,AKANGA FILM ASIA,32
21223,ALL RIGHTS ENTERTAINMENT.LTD,35
26956,ALPHA VIOLET,36
22739,ALPHA VIOLET,36
23217,ALPHA VIOLET,36
23687,ALTITUDE FILM SALES LIMITED,38
28745,ALTITUDE FILM SALES LIMITED,38
28917,ALTITUDE FILM SALES LIMITED,38
26958,ANGEL STUDIOS LICENSING LLC,41
26836,ANGEL STUDIOS LICENSING LLC,41
20780,ANIMATION ENTERTAINMENT LTD.,42
25011,ANIMATION INTERNATIONAL LTD,43
25106,ANIMATION INTERNATIONAL LTD,43
25023,ANIMATION INTERNATIONAL LTD,43
25043,ANIMATION INTERNATIONAL LTD,43
24972,ANIMATION INTERNATIONAL LTD,43
25078,ANIMATION INTERNATIONAL LTD,43
25127,ANIMATION INTERNATIONAL LTD,43
28637,ANIPLEX,44
28752,ANIPLEX INC.,46
29592,ANIPLEX INC.,46
25304,ANIPLEX INC.,46
25991,ANIPLEX INC.,46
25341,ANIPLEX INC.,46
22751,ANIPLEX INC.,46
17368,ANIPLEX INC.,46
26668,ANIPLEX INC.,46
23365,ANIPLEX INC.,46
28735,ANIPLEX INC.,46
19722,ANIPLEX INC.,46
23662,ANIPLEX INC.,46
27734,ANIPLEX INC.,46
20057,ANIPLEX INC.,46
