MovieId,start_date,end_date,Amount,Tickets,TheaterCount
21945,2022-08-08 00:00:00,2022-08-14 00:00:00,9237556,37591,73
21945,2022-08-15 00:00:00,2022-08-21 00:00:00,15682949,64294,73
21945,2022-08-22 00:00:00,2022-08-28 00:00:00,9471771,38603,73
21945,2022-08-29 00:00:00,2022-09-04 00:00:00,5312054,21621,73
21945,2022-09-05 00:00:00,2022-09-11 00:00:00,3032445,12336,71
21945,2022-09-12 00:00:00,2022-09-18 00:00:00,1354873,5560,62
21945,2022-09-19 00:00:00,2022-09-25 00:00:00,533528,2217,52
21945,2022-09-26 00:00:00,2022-10-02 00:00:00,322747,1469,32
21945,2022-10-03 00:00:00,2022-10-09 00:00:00,69015,275,18
21945,2022-10-10 00:00:00,2022-10-16 00:00:00,33276,134,7
21945,2022-10-17 00:00:00,2022-10-23 00:00:00,3360,13,4
21945,2022-10-24 00:00:00,2022-10-30 00:00:00,12350,65,1
22241,2022-09-05 00:00:00,2022-09-11 00:00:00,6012376,24989,67
22241,2022-09-12 00:00:00,2022-09-18 00:00:00,6293983,26147,67
22241,2022-09-19 00:00:00,2022-09-25 00:00:00,3874024,16020,67
22241,2022-09-26 00:00:00,2022-10-02 00:00:00,2155421,9014,66
22241,2022-10-03 00:00:00,2022-10-09 00:00:00,989823,4102,63
22241,2022-10-10 00:00:00,2022-10-16 00:00:00,494917,2022,54
22241,2022-10-17 00:00:00,2022-10-23 00:00:00,73727,301,29
22241,2022-10-24 00:00:00,2022-10-30 00:00:00,29195,122,12
22241,2022-10-31 00:00:00,2022-11-06 00:00:00,1820,8,1
23147,2022-11-21 00:00:00,2022-11-27 00:00:00,4651924,20341,69
23147,2022-11-28 00:00:00,2022-12-04 00:00:00,6979778,29453,69
23147,2022-12-05 00:00:00,2022-12-11 00:00:00,4184068,17493,70
23147,2022-12-12 00:00:00,2022-12-18 00:00:00,1691755,7126,69
23147,2022-12-19 00:00:00,2022-12-25 00:00:00,785198,3346,63
23147,2022-12-26 00:00:00,2023-01-01 00:00:00,309442,1335,43
23147,2023-01-02 00:00:00,2023-01-08 00:00:00,80612,342,17
23147,2023-01-09 00:00:00,2023-01-15 00:00:00,22140,98,11
22479,2022-09-26 00:00:00,2022-10-02 00:00:00,3647356,14969,81
22479,2022-10-03 00:00:00,2022-10-09 00:00:00,6296119,25806,81
22479,2022-10-10 00:00:00,2022-10-16 00:00:00,5079162,20600,81
22479,2022-10-17 00:00:00,2022-10-23 00:00:00,2008018,8217,80
22479,2022-10-24 00:00:00,2022-10-30 00:00:00,944656,3895,70
22479,2022-10-31 00:00:00,2022-11-06 00:00:00,316134,1300,55
22479,2022-11-07 00:00:00,2022-11-13 00:00:00,73148,327,28
22479,2022-11-14 00:00:00,2022-11-20 00:00:00,28132,129,7
22479,2022-11-21 00:00:00,2022-11-27 00:00:00,1480,7,2
21736,2022-06-27 00:00:00,2022-07-03 00:00:00,5278525,21911,62
21736,2022-07-04 00:00:00,2022-07-10 00:00:00,5538056,23135,62
21736,2022-07-11 00:00:00,2022-07-17 00:00:00,3363970,14108,61
21736,2022-07-18 00:00:00,2022-07-24 00:00:00,1583686,6784,56
21736,2022-07-25 00:00:00,2022-07-31 00:00:00,714711,3054,43
21736,2022-08-01 00:00:00,2022-08-07 00:00:00,264027,1123,27
21736,2022-08-08 00:00:00,2022-08-14 00:00:00,110101,468,17
21736,2022-08-15 00:00:00,2022-08-21 00:00:00,29832,123,7
21736,2022-08-22 00:00:00,2022-08-28 00:00:00,7380,30,2
21615,2022-06-20 00:00:00,2022-06-26 00:00:00,4580905,18669,69
21615,2022-06-27 00:00:00,2022-07-03 00:00:00,5461821,22389,69
21615,2022-07-04 00:00:00,2022-07-10 00:00:00,2403256,9782,69
21615,2022-07-11 00:00:00,2022-07-17 00:00:00,1244363,5074,55
21615,2022-07-18 00:00:00,2022-07-24 00:00:00,522854,2165,39
21615,2022-07-25 00:00:00,2022-07-31 00:00:00,180763,743,22
21615,2022-08-01 00:00:00,2022-08-07 00:00:00,80756,330,11
21615,2022-08-08 00:00:00,2022-08-14 00:00:00,78245,344,7
21615,2022-08-15 00:00:00,2022-08-21 00:00:00,5130,19,1
21615,2022-08-22 00:00:00,2022-08-28 00:00:00,1230,5,1
21615,2022-09-19 00:00:00,2022-09-25 00:00:00,36000,180,1
21222,2022-05-16 00:00:00,2022-05-22 00:00:00,3234647,13632,64
21222,2022-05-23 00:00:00,2022-05-29 00:00:00,3263526,13818,65
21222,2022-05-30 00:00:00,2022-06-05 00:00:00,2334776,9906,65
21222,2022-06-06 00:00:00,2022-06-12 00:00:00,1118451,4671,64
21222,2022-06-13 00:00:00,2022-06-19 00:00:00,646056,2704,51
21222,2022-06-20 00:00:00,2022-06-26 00:00:00,235079,1018,20
21222,2022-06-27 00:00:00,2022-07-03 00:00:00,119422,512,10
21222,2022-07-04 00:00:00,2022-07-10 00:00:00,16400,70,5
21222,2022-07-11 00:00:00,2022-07-17 00:00:00,9490,36,1
21222,2022-07-18 00:00:00,2022-07-24 00:00:00,6410,26,1
21222,2022-07-25 00:00:00,2022-07-31 00:00:00,880,4,1
21858,2022-07-25 00:00:00,2022-07-31 00:00:00,5307633,21639,69
21858,2022-08-01 00:00:00,2022-08-07 00:00:00,2726856,11250,69
21858,2022-08-08 00:00:00,2022-08-14 00:00:00,1000577,4201,69
21858,2022-08-15 00:00:00,2022-08-21 00:00:00,265920,1103,42
21858,2022-08-22 00:00:00,2022-08-28 00:00:00,76577,314,14
21858,2022-08-29 00:00:00,2022-09-04 00:00:00,12910,54,2
21858,2022-09-05 00:00:00,2022-09-11 00:00:00,6499,28,2
21858,2022-09-12 00:00:00,2022-09-18 00:00:00,0,0,1
22473,2022-09-26 00:00:00,2022-10-02 00:00:00,3154777,13339,65
22473,2022-10-03 00:00:00,2022-10-09 00:00:00,3431531,14608,65
22473,2022-10-10 00:00:00,2022-10-16 00:00:00,1634527,6886,65
22473,2022-10-17 00:00:00,2022-10-23 00:00:00,326982,1399,58
22473,2022-10-24 00:00:00,2022-10-30 00:00:00,79543,332,28
22473,2022-10-31 00:00:00,2022-11-06 00:00:00,4010,17,4
22113,2022-08-22 00:00:00,2022-08-28 00:00:00,3117510,12946,79
22113,2022-08-29 00:00:00,2022-09-04 00:00:00,3354376,13962,79
22113,2022-09-05 00:00:00,2022-09-11 00:00:00,1118332,4690,79
22113,2022-09-12 00:00:00,2022-09-18 00:00:00,402070,1679,65
22113,2022-09-19 00:00:00,2022-09-25 00:00:00,132132,567,27
22113,2022-09-26 00:00:00,2022-10-02 00:00:00,40811,182,13
22113,2022-10-03 00:00:00,2022-10-09 00:00:00,4235,19,6
22113,2022-10-10 00:00:00,2022-10-16 00:00:00,1190,5,1
22113,2022-11-07 00:00:00,2022-11-13 00:00:00,5120,32,1
22113,2022-11-14 00:00:00,2022-11-20 00:00:00,20000,142,2
22113,2022-11-21 00:00:00,2022-11-27 00:00:00,33875,356,4
22113,2022-11-28 00:00:00,2022-12-04 00:00:00,33961,395,5
22113,2022-12-05 00:00:00,2022-12-11 00:00:00,9435,109,3
22113,2022-12-12 00:00:00,2022-12-18 00:00:00,1570,13,1
22239,2022-09-05 00:00:00,2022-09-11 00:00:00,2835303,11343,24
22239,2022-09-12 00:00:00,2022-09-18 00:00:00,2259748,8762,24
22239,2022-09-19 00:00:00,2022-09-25 00:00:00,1259909,4864,24
22239,2022-09-26 00:00:00,2022-10-02 00:00:00,614220,2357,22
22239,2022-10-03 00:00:00,2022-10-09 00:00:00,634802,2284,20
22239,2022-10-10 00:00:00,2022-10-16 00:00:00,294637,1104,20
22239,2022-10-17 00:00:00,2022-10-23 00:00:00,81823,313,13
22239,2022-10-24 00:00:00,2022-10-30 00:00:00,84981,339,9
22239,2022-10-31 00:00:00,2022-11-06 00:00:00,20178,80,3
22239,2022-11-07 00:00:00,2022-11-13 00:00:00,7344,30,2
22239,2022-11-14 00:00:00,2022-11-20 00:00:00,6375,27,1
22239,2022-11-21 00:00:00,2022-11-27 00:00:00,6295,24,1
22239,2022-11-28 00:00:00,2022-12-04 00:00:00,2585,10,1
22239,2022-12-05 00:00:00,2022-12-11 00:00:00,20325,90,2
22239,2022-12-12 00:00:00,2022-12-18 00:00:00,810,3,1
22239,2023-04-03 00:00:00,2023-04-09 00:00:00,620,3,2
22239,2023-04-10 00:00:00,2023-04-16 00:00:00,570,3,2
22239,2023-04-17 00:00:00,2023-04-23 00:00:00,1240,6,2
22239,2023-04-24 00:00:00,2023-04-30 00:00:00,1675,9,2
22239,2023-09-04 00:00:00,2023-09-10 00:00:00,16060,73,1
22239,2023-09-11 00:00:00,2023-09-17 00:00:00,132940,391,1
21763,2022-07-11 00:00:00,2022-07-17 00:00:00,1897763,7644,57
21763,2022-07-18 00:00:00,2022-07-24 00:00:00,2427504,9834,57
21763,2022-07-25 00:00:00,2022-07-31 00:00:00,1343010,5369,57
21763,2022-08-01 00:00:00,2022-08-07 00:00:00,690858,2779,44
21763,2022-08-08 00:00:00,2022-08-14 00:00:00,312149,1274,25
21763,2022-08-15 00:00:00,2022-08-21 00:00:00,202418,811,12
21763,2022-08-22 00:00:00,2022-08-28 00:00:00,82965,346,8
21763,2022-08-29 00:00:00,2022-09-04 00:00:00,43130,182,6
21763,2022-09-05 00:00:00,2022-09-11 00:00:00,20850,82,4
21763,2022-09-12 00:00:00,2022-09-18 00:00:00,7100,30,2
21763,2022-09-19 00:00:00,2022-09-25 00:00:00,3655,15,1
21763,2023-06-26 00:00:00,2023-07-02 00:00:00,47069,202,8
21763,2023-07-03 00:00:00,2023-07-09 00:00:00,49964,215,9
21763,2023-07-10 00:00:00,2023-07-16 00:00:00,6210,28,4
21763,2023-07-17 00:00:00,2023-07-23 00:00:00,3490,13,1
20398,2022-01-24 00:00:00,2022-01-30 00:00:00,1531025,6524,55
20398,2022-01-31 00:00:00,2022-02-06 00:00:00,3429553,14438,55
20398,2022-02-07 00:00:00,2022-02-13 00:00:00,1092616,4724,55
