imdbID,imdbRating
,
tt11337750,
tt32547207,9.3
tt11245972,6.3
tt0490518,7.5
tt0213314,7.2
tt19864802,6.6
tt1951266,6.6
tt2042568,7.4
tt16254308,6.1
tt28995831,4.9
,
tt27802490,6.9
tt26686436,6.3
tt32195076,
tt21652624,5.9
tt8912936,7.1
tt20420790,6.0
tt9812474,6.3
tt30804400,7.1
tt13419036,7.6
tt10223460,6.1
tt33079438,
tt20115766,7.0
tt30698096,5.7
tt1606180,7.0
tt13456340,7.6
tt28679245,
tt21109538,6.6
tt4431104,6.3
tt1562328,7.4
tt13866832,6.2
tt19719836,7.0
tt5213138,6.8
tt17493724,6.0
tt27688034,5.8
tt11179000,
tt11790268,7.4
tt34693640,5.4
tt0087545,7.1
tt13182834,6.6
tt0428870,8.1
tt14577300,3.3
tt15535428,
tt0120263,7.5
tt21959164,
tt11057302,4.0
tt9239882,5.6
tt3811906,6.2
tt27795356,6.6
tt16077426,
tt21374930,6.3
tt10366206,7.6
tt1745960,8.2
tt32380407,6.0
tt10160976,5.6
tt18815700,6.3
tt29632851,5.6
tt12584954,6.5
tt32332866,
tt7286456,8.3
tt8521778,6.2
tt32750439,4.8
tt19770238,7.6
tt10651230,7.6
tt0228807,6.1
tt22498834,
tt11007444,6.8
tt0117509,6.7
tt1448754,6.2
tt21962898,5.7
tt22000856,
tt21374850,7.5
tt22505124,4.7
tt22298582,
tt8589698,7.2
tt4940336,3.5
tt21111352,
tt30320576,7.7
tt33175825,9.3
tt11679950,6.4
tt6823148,6.7
tt6718170,7.0
tt19719976,7.6
tt19783714,7.9
tt19876798,
tt14786640,
tt10370812,6.9
tt0092263,7.4
tt10945274,6.3
tt27410896,8.4
tt0099348,8.0
tt24670176,5.7
tt20201212,6.5
tt29571399,5.9
tt16715436,5.4
tt27850528,
tt0926084,7.7
tt31015278,7.5
tt32253416,
tt21936550,
tt11930188,6.8
tt2884018,6.6
tt1392170,7.2
tt21439866,
tt7985704,6.3
tt28036417,7.7
tt11006570,5.5
tt12443220,6.0
tt8006374,4.7
tt14668630,6.1
tt10533078,5.3
tt15620158,7.1
tt13957560,6.9
tt14916052,5.5
tt30523942,6.2
tt13496236,3.4
tt14865506,7.2
tt8368368,7.1
tt0454876,7.9
tt22474136,6.2
tt0295297,7.4
tt0318462,7.7
tt14824590,5.4
tt31416518,
tt15742308,
tt13821562,7.2
tt22048600,5.6
tt28813819,
tt15102828,
tt13405778,5.5
tt0118819,7.3
tt8269552,7.0
tt12531856,7.1
tt14454876,6.0
tt8385148,6.1
tt0064165,7.4
tt14590650,
