id,imdb_id,origin_country_first,runtime,budget,revenue
626872,tt11535228,KR,140,18052672,19200000
736820,tt21867370,KR,129,0,0
774548,tt17494686,KR,110,8500000,6843970
821153,tt21800888,KR,113,0,0
615173,tt13721828,KR,138,0,23068596
736732,tt13056052,KR,129,0,18632208
619803,tt15838850,KR,106,7600000,101166707
601796,tt20168564,KR,142,24500000,12109608
799379,tt15575470,KR,122,9000000,20541
727340,tt6931658,KR,131,17000000,25994
993885,tt22191360,KR,177,0,600108
705996,tt12477480,KR,138,0,16914773
606403,tt16529222,KR,108,0,0
634595,tt13182834,KR,105,6244195,0
946615,tt19383926,KR,115,0,0
633374,tt21279122,KR,128,0,0
629028,tt14140954,KR,105,0,0
588108,tt21109538,KR,129,0,57490985
806128,tt23871504,KR,118,0,0
1038198,tt23849218,KR,100,0,0
717090,tt23157348,KR,112,0,0
877260,tt21263500,KR,91,0,462593
938008,tt19713090,KR,95,0,595112
602295,tt15108954,KR,108,0,0
491584,tt7282468,KR,149,7280000,6591038
821661,tt16755970,KR,138,0,1906786
882580,tt23746764,KR,131,0,0
962489,tt22872370,KR,114,0,0
610321,tt16676718,KR,120,0,0
616670,tt13236270,KR,122,0,0
718289,tt21632892,KR,87,0,0
731684,tt19849514,KR,108,0,0
795276,tt22048600,KR,0,0,0
577205,tt9647926,KR,78,0,0
628802,tt12663772,KR,117,0,0
630217,tt19632878,KR,98,0,0
626129,tt19245482,KR,111,0,1300000
573787,tt17491616,KR,123,0,6019720
958937,tt5213138,SG,90,0,0
743814,tt18372308,KR,146,0,0
817557,tt23813502,KR,109,0,0
581390,tt14371900,KR,126,0,0
840528,tt27553313,KR,82,0,0
795797,tt14035108,KR,66,0,0
817480,None,KR,82,0,0
589713,tt14425000,KR,83,0,0
820517,tt14776918,KR,86,0,0
928713,tt17146978,KR,92,71560,382227
743475,tt13705634,KR,81,0,0
934207,tt9602472,AU,102,0,0
889507,tt15575176,AU,110,0,0
575764,tt14773800,FR,103,0,0
681260,tt11792512,AU,88,0,4345221
789910,tt10712178,IT,15,0,0
934957,tt10231726,HK,100,0,0
955644,tt5790684,AU,82,0,0
567927,tt9409660,DE,119,0,0
620498,tt13846414,DE,176,178,0
795813,tt13087796,DE,108,0,1090661
681349,tt11080676,DE,93,0,0
871530,tt13021476,DE,105,0,0
852457,tt14463426,IQ,87,0,0
739323,tt15041866,IL,84,0,0
607442,tt13350988,BR,99,0,0
546630,tt8129794,DE,111,0,0
776542,tt7904172,DK,102,0,0
104,tt0130827,DE,81,1530000,7660911
608980,tt9110904,IT,119,0,0
612491,tt10791152,IT,122,0,882
47060,tt0156610,TW,95,0,0
654344,tt10072662,FR,89,0,0
752616,tt13091090,AR,91,0,0
592695,tt8550054,SE,108,1800000,393824
