id,gender,name,original_name,known_for_department
20738,2,Song Kang-ho,송강호,Acting
25002,2,Lee Byung-hun,이병헌,Acting
20737,1,Jeon Do-yeon,전도연,Acting
110388,2,Kim Nam-gil,김남길,Acting
1296713,2,Yim Si-wan,임시완,Acting
544107,2,Hyun Bin,현빈,Acting
84996,2,Yoo Hai-jin,유해진,Acting
1252045,1,Yoona,윤아,Acting
82093,2,Daniel Henney,Daniel Henney,Acting
1989290,2,Jin Sun-kyu,진선규,Acting
1222330,2,Kim Rae-won,김래원,Acting
1095818,2,Lee Jong-suk,이종석,Acting
1715383,2,Jung Sang-hoon,정상훈,Acting
564844,2,Park Byung-eun,박병은,Acting
1374543,1,Lee Sang-hee,이상희,Acting
1257601,2,Go Kyung-pyo,고경표,Acting
1330446,2,Lee Yi-kyung,이이경,Acting
2370779,2,Um Mun-suk,음문석,Acting
1834243,1,Park Se-wan,박세완,Acting
1385609,2,Kwak Dong-yeon,곽동연,Acting
2896274,1,Shin Si-a,신시아,Acting
1134684,1,Park Eun-bin,박은빈,Acting
1882314,1,Seo Eun-soo,서은수,Acting
1299287,2,Jin Goo,진구,Acting
1520280,2,Seong Yu-bin,성유빈,Acting
83014,2,Gang Dong-won,강동원,Acting
21688,1,Bae Doona,배두나,Acting
1252318,1,IU,아이유,Acting
1701993,1,Lee Joo-young,이주영,Acting
1024395,2,Don Lee,마동석,Acting
2035488,2,Son Suk-ku,손석구,Acting
1418581,2,Choi Gwi-hwa,최귀화,Acting
1078674,2,Park Ji-hwan,박지환,Acting
1332468,2,Heo Dong-won,허동원,Acting
1530733,2,Ryu Jun-yeol,류준열,Acting
1257671,2,Kim Woo-bin,김우빈,Acting
1537768,1,Kim Tae-ri,김태리,Acting
932821,2,So Ji-sub,소지섭,Acting
37939,1,Yum Jung-ah,염정아,Acting
1255411,2,Seo In-guk,서인국,Acting
1713025,2,Jang Dong-yoon,장동윤,Acting
1872629,2,Park Ho-san,박호산,Acting
1252017,1,Jung So-min,정소민,Acting
150697,2,Ko Chang-seok,고창석,Acting
73249,2,Lee Jung-jae,이정재,Acting
17120,2,Jung Woo-sung,정우성,Acting
150126,1,Jeon Hye-jin,전혜진,Acting
1388365,2,Heo Sung-tae,허성태,Acting
2791233,1,Go Youn-jung,고윤정,Acting
3212104,2,Park Seo-ham,박서함,Acting
2885448,2,Park Jae-chan,Park Jae-chan,Acting
3417158,1,Song Ji-oh,Song Ji-oh,Acting
3096717,1,Kim No-jin,Kim No-jin,Acting
3457656,2,Kim Won-gi,Kim Won-gi,Acting
38280,1,Tang Wei,湯唯,Acting
21687,2,Park Hae-il,박해일,Acting
1244822,1,Lee Jung-hyun,이정현,Acting
17124,2,Park Yong-woo,박용우,Acting
1442583,1,Park So-dam,박소담,Acting
1347175,2,Kim Eui-sung,김의성,Acting
1299516,2,Song Sae-byuk,송새벽,Acting
2084416,1,Yeom Hye-ran,염혜란,Acting
2306987,2,Jung Hyeon-jun,정현준,Acting
28662,1,Yunjin Kim,김윤진,Acting
1523043,1,Nana,나나,Acting
2485848,2,Choi Gwang-il,최광일,Acting
1552970,1,Park Hyun-suk,박현숙,Acting
1897256,2,S.Coups,에스쿱스,Acting
1897257,2,Jeonghan,정한,Acting
1897258,2,Joshua,조슈아,Acting
1625880,2,Jun,준,Acting
1897260,2,Hoshi,호시,Acting
141548,2,Lee Sung-min,이성민,Acting
1459772,2,Nam Joo-hyuk,남주혁,Acting
553237,2,Park Keun-hyong,박근형,Acting
1044800,2,Jeong Man-sik,정만식,Acting
141541,2,Yoon Je-moon,윤제문,Acting
1255413,2,Kim Young-kwang,김영광,Acting
1716008,1,Lee Sun-bin,이선빈,Acting
1856377,2,Oh Dae-hwan,오대환,Acting
1765534,2,Seo Hyeon-cheol,서현철,Acting
1607301,2,Choi Byung-mo,최병모,Acting
1337780,2,Byun Yo-han,변요한,Acting
17121,2,Ahn Sung-ki,안성기,Acting
