Year,MovieId,Name,id,imdb_id,runtime,budget,revenue,production_country,tw_first_release_date
2022,21945,緊急迫降,626872,tt11535228,140,18052672,19200000,韓國,2022-08-12
2022,22241,機密同盟2,736820,tt21867370,129,0,0,韓國,2022-09-08
2022,23147,音爆浩劫,774548,tt17494686,110,8500000,6843970,韓國,2022-11-25
2022,22479,樂透大作戰,821153,tt21800888,113,0,0,韓國,2022-09-30
2022,21736,魔女二部曲：另一個她,615173,tt13721828,138,0,23068596,韓國,2022-07-01
2022,21615,嬰兒轉運站,736732,tt13056052,129,0,18632208,韓國,2022-06-24
2022,21222,犯罪都市2,619803,tt15838850,106,7600000,101166707,韓國,2022-05-20
2022,21858,外星+人,601796,tt20168564,142,24500000,12109608,韓國,2022-07-27
2022,22473,行動代號：狼狩獵,799379,tt15575470,122,9000000,20541,韓國,2022-09-30
2022,22113,獵首密令,727340,tt6931658,131,17000000,25994,韓國,2022-08-26
2022,22239,語意錯誤電影版,993885,tt22191360,177,0,600108,韓國,2022-09-08
2022,21763,分手的決心,705996,tt12477480,138,0,16914773,韓國,2022-07-15
2022,20398,極速快遞,606403,tt16529222,108,0,0,韓國,2022-01-28
2022,22925,局中局,634595,tt13182834,105,6244195,0,韓國,2022-11-04
2022,20981,SEVENTEEN POWER OF LOVE : THE MOVIE,946615,tt19383926,115,0,0,韓國,2022-04-20
2022,23015,厄憶追凶,633374,tt21279122,128,0,0,韓國,2022-11-18
2022,18813,金派特務,629028,tt14140954,105,0,0,韓國,2021-10-29
2022,22004,韓山島海戰,588108,tt21109538,129,0,57490985,韓國,2022-08-19
2022,23248,晝盲神探,806128,tt23871504,118,0,0,韓國,2022-12-09
2022,23206,NCT DREAM THE MOVIE : In A DREAM,1038198,tt23849218,100,0,0,韓國,2022-11-30
2022,23216,整形帝王,717090,tt23157348,112,0,0,韓國,2022-12-02
2022,21779,邪門,877260,tt21263500,91,0,462593,韓國,2022-07-15
2022,21823,非常殺手,938008,tt19713090,95,0,595112,韓國,2022-07-22
2022,20110,獵魂者,602295,tt15108954,108,0,0,韓國,2021-12-03
2022,9051,燃燒烈愛,491584,tt7282468,149,7280000,6591038,韓國,2018-06-29
2022,20335,緣來大飯店,821661,tt16755970,138,0,1906786,韓國,2021-12-30
2022,23214,失控正義,882580,tt23746764,131,0,0,韓國,2022-12-09
2022,23362,共感頻率,962489,tt22872370,114,0,0,韓國,2022-12-23
2022,20402,無間對決,610321,tt16676718,120,0,0,韓國,2022-01-14
2022,22653,人生真美麗,616670,tt13236270,122,0,0,韓國,2022-10-14
2022,22221,界限,718289,tt21632892,87,0,0,韓國,2022-09-02
2022,21160,空氣殺人,731684,tt19849514,108,0,0,韓國,2022-05-13
2022,22628,政客誠實中2,795276,tt22048600,0,0,0,韓國,2022-10-07
2022,18829,衝鋒戰士劇場版：翁法洛斯島的秘密,577205,tt9647926,78,0,0,韓國,2022-07-01
2022,20749,奇怪的數學家,628802,tt12663772,117,0,0,韓國,2022-03-18
2022,20942,超跑斯特拉,630217,tt19632878,98,0,0,韓國,2022-04-29
2022,21164,死亡預報,626129,tt19245482,111,0,1300000,韓國,2022-05-13
2022,23199,王者製造,573787,tt17491616,123,0,6019720,韓國,2022-12-02
2022,23364,花路阿朱媽,958937,tt5213138,90,0,0,韓國,2022-12-23
2022,20778,為人民服務,743814,tt18372308,146,0,0,韓國,2022-03-25
2022,22818,笑子當老大,817557,tt23813502,109,0,0,韓國,2022-10-28
