tw_id,tw_title,tmdb_id,imdb_id,production_country,tw_first_release_date,budget,global_revenue,movie_runtime,data_created_time,data_updated_time
27552,被遺忘的人,,,墨西哥,2024-05-25 00:00:00,,,,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
18785,是誰得手林布蘭？,,,荷蘭,2021-06-18 00:00:00,,,,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
23640,孩子， 你好嗎 ?  山頂小屋,,,馬來西亞,2023-02-25 00:00:00,,,,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
21974,愛重奏,,,挪威,2022-09-02 00:00:00,,,,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
13268,石榴的顏色,,,亞美尼亞,2024-12-13 00:00:00,,,,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
23605,孩子， 你好嗎 ? 我的名字叫李心潔,,,馬來西亞,2023-02-25 00:00:00,,,,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
27553,維莉狄雅娜,,,墨西哥,2024-06-02 00:00:00,,,,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
29652,模範生禁愛秘密,,,印度,2024-12-27 00:00:00,,,,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
25360,智利，我的理想國,,,智利,2023-11-24 00:00:00,,,,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
18053,女畫家與偷畫賊,,,挪威,2021-05-14 00:00:00,,,,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
29616,吶喊雷克雅維克,,,冰島,2024-12-18 00:00:00,,,,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
23630,孩子， 你好嗎 ? 我是誰?,,,馬來西亞,2023-04-01 00:00:00,,,,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
20457,機遇之歌：數位修復版,,,波蘭,2022-08-28 00:00:00,,,,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
19811,浮生,,,澳洲,2022-03-13 00:00:00,,,,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
21361,養蜂人,,,希臘,2022-05-30 00:00:00,,,,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
27550,馬奎斯之愛與群魔,,,哥斯大黎加,2024-05-24 00:00:00,,,,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
22270,危雞總動員,,,墨西哥,2022-09-23 00:00:00,,,,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
21358,流浪藝人,,,希臘,2022-05-29 00:00:00,,,,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
21364,尤里西斯生命之旅,,,希臘,2022-06-03 00:00:00,,,,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
22858,海鷗來過的房間,,,澳門,2022-11-11 00:00:00,,,,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
20336,慕夏狂潮：從崛起到永恆,,,捷克,2022-01-14 00:00:00,,,,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
21357,三六年的歲月,,,希臘,2022-05-29 00:00:00,,,,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
29733,你好，愛，再次,,,菲律賓,2025-01-10 00:00:00,,,,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
27549,柏格曼的幽靈,,,奧地利,2024-05-27 00:00:00,,,,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
20952,親愛的母親,,,匈牙利,2022-07-01 00:00:00,,,,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
23604,孩子， 你好嗎 ? 鴕鳥騎士,,,馬來西亞,2023-03-31 00:00:00,,,,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
21384,黎巴嫩的天空,,,黎巴嫩,2022-06-10 00:00:00,,,,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
20365,世界上最爛的人,,,挪威,2022-01-01 00:00:00,,,,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
29084,這就是聖誕節,,,愛爾蘭,2024-12-13 00:00:00,,,,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
21659,黑貓白貓：4K數位修復版,,,塞爾維亞,2022-08-12 00:00:00,,,,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
21919,妖街皇后,,,新加坡,2022-09-23 00:00:00,,,,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
29805,我們愛過一次,,,巴西,2025-02-14 00:00:00,,,,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
26362,切格瓦拉滿天下,,,墨西哥,2023-12-16 00:00:00,,,,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
27438,遠方 數位修復版,1267665,,土耳其,2024-05-24 00:00:00,0,0,25,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
26760,鬼燭靈,1211728,tt28768831,阿根廷,2024-02-16 00:00:00,0,0,76,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
29011,靠近維梅爾,1090031,tt26773666,荷蘭,2024-11-08 00:00:00,0,0,77,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
21536,不看鐵達尼號的男人,716855,tt13328824,芬蘭,2022-06-24 00:00:00,400000,0,82,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
29765,喪屍集中營,1301650,tt32195076,蒙古,2025-02-07 00:00:00,0,0,83,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
24350,為你鍾琴,804868,tt14526682,挪威,2023-06-09 00:00:00,0,0,83,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
24729,尋愛小說家：海史密斯,915939,tt15239466,瑞士,2023-08-25 00:00:00,0,46172,84,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
28082,荒野心家園,1208994,tt30320576,挪威,2024-09-13 00:00:00,0,0,84,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
18629,亞馬遜守護者：安珀傳奇(英語版),588921,tt6570098,秘魯,2022-01-13 00:00:00,10000000,10237061,85,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
28829,富豪遊戲,1078810,tt26006472,奧地利,2024-11-29 00:00:00,0,0,86,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
19627,勇鼠闖天堂,588890,tt3804810,捷克,2022-02-04 00:00:00,0,1505235,87,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
24786,芽籠,1029178,tt16715436,新加坡,2023-09-22 00:00:00,0,0,87,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
21740,浪浪回家路,725133,tt13479414,捷克,2022-07-22 00:00:00,0,0,88,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
23217,高原上的家屋,913820,tt10984580,玻利維亞,2022-12-16 00:00:00,0,52793,88,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
25163,愛爾瑪的情與慾,997777,tt15157318,奧地利,2023-09-15 00:00:00,0,0,88,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
28639,靈寓,1219522,tt11952626,柬埔寨,2024-12-20 00:00:00,0,0,88,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
27158,給我愛過的前任們,989232,tt27812279,比利時,2024-04-19 00:00:00,2000000,0,89,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
28674,生活瑣事,3423,tt0064165,瑞士,2024-10-26 00:00:00,0,0,89,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
24256,燃起希望之火,849242,tt9317274,突尼西亞,2023-05-26 00:00:00,0,0,90,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
21223,格列佛遊記：重返小人國,763539,tt11238518,烏克蘭,2022-08-26 00:00:00,2500000,0,90,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
25305,愛在滿格時,1033176,tt22059648,蒙古,2023-09-22 00:00:00,0,0,90,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
22738,天堂髮廊,782648,tt11897340,巴勒斯坦,2022-10-21 00:00:00,0,0,91,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
21888,大獲拳勝,845875,tt11369540,波蘭,2022-08-26 00:00:00,0,43663,91,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
24951,腹荷,1061648,tt16611924,葉門,2023-07-20 00:00:00,0,0,91,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
23352,她和她們的電影課,866611,tt6443330,以色列,2023-01-06 00:00:00,0,69537,91,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
22307,怪胎英雄：奇克探險記,778855,tt12532368,比利時,2022-09-23 00:00:00,20000000,0,91,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
21163,孵魔,517302,tt12519030,芬蘭,2022-05-20 00:00:00,3896000,508000,91,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
28411,雪中真相,1008393,tt21612768,土耳其,2024-10-18 00:00:00,0,0,93,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
28158, 情慾出走的女人,998625,tt21272440,瑞士,2024-08-09 00:00:00,0,0,93,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
25827,萬聖劫,1058078,tt24017902,瑞典,2023-10-27 00:00:00,2250000,633385,93,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
27554,泯滅天使,29264,tt0056732,墨西哥,2024-05-28 00:00:00,0,0,93,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
22739,瑞士鐘錶師,749136,tt11409736,瑞士,2022-11-04 00:00:00,0,0,94,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
25990,戰場日記,1058616,tt24082438,烏克蘭,2023-11-05 00:00:00,0,21000,94,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
23888,夏日悄悄話,916405,tt15109082,愛爾蘭,2023-03-31 00:00:00,1,6,94,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
25414,虎紋少女,1077693,tt10803634,馬來西亞,2023-10-27 00:00:00,0,0,95,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
27769,鬼氣球,1246014,,柬埔寨,2024-06-14 00:00:00,400000,0,95,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
26956,最後一次的生日派對,958186,tt26315142,墨西哥,2024-03-22 00:00:00,0,163399,95,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
19408,逃出奧斯威辛,717694,tt9415108,斯洛伐克,2021-10-01 00:00:00,0,360868,95,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
23221,色界,993234,tt21111352,捷克,2023-02-17 00:00:00,0,0,95,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
24348,米蘭昆德拉：從玩笑到無謂的盛宴,835362,tt13875550,捷克,2023-06-02 00:00:00,0,0,95,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
21359,獵人,179890,tt0445528,希臘,2022-05-28 00:00:00,0,0,96,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
23721,巫母,782936,tt11212572,愛爾蘭,2023-02-24 00:00:00,0,0,96,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
24840,我恨我自己,788734,tt18816518,挪威,2023-07-07 00:00:00,0,1051375,97,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
26756,鬼影直播,1070535,tt25730490,瑞典,2024-02-23 00:00:00,2150000,0,97,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
26691,上流誘惑,1048516,tt24464438,波蘭,2024-02-16 00:00:00,0,0,98,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
27233,如果我可以冬眠,986855,tt21605226,蒙古,2024-04-26 00:00:00,0,0,98,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
24551,惡靈魔洛剋,959558,tt14412446,荷蘭,2023-06-16 00:00:00,0,558917,99,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
22523,女孩與蜘蛛,517815,tt11967484,瑞士,2022-12-02 00:00:00,0,0,99,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
29085,皇后復仇中,976581,tt20114686,盧森堡,2024-10-25 00:00:00,0,0,99,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
20191,天菜特警,792775,tt13882736,冰島,2021-12-10 00:00:00,0,0,100,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
19922,夢想裁縫師,764810,tt13317230,希臘,2021-12-17 00:00:00,0,0,100,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
25630,戰火邊緣的青春,853084,tt11389212,烏克蘭,2023-10-13 00:00:00,0,0,100,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
22198,沒有煙硝的日子,913760,tt16315948,烏克蘭,2022-12-29 00:00:00,0,0,100,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
21709,偉大的印度廚房,786064,tt13299890,印度,2022-07-08 00:00:00,888514,0,100,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
26481,巫術,1015936,tt20782072,瑞典,2023-12-22 00:00:00,2200000,0,100,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
21380,當女孩戀愛時,683363,tt13328800,芬蘭,2022-07-22 00:00:00,1800000,0,100,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
26212,我們從末日開始,973778,tt21810682,盧森堡,2023-12-08 00:00:00,10000000,604830,101,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
27989,血色之路,989589,tt10370812,智利,2024-10-01 00:00:00,0,0,101,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
27891,魔女荷莉,989496,tt13866832,比利時,2024-09-20 00:00:00,2700000,0,102,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
24061,血忌,1015079,tt22205036,馬來西亞,2023-04-14 00:00:00,0,0,102,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
