tw_id,tw_release_days,reference_year_amount,reference_year_tickets,reference_year,data_created_time,data_updated_time
20533,1,38940,177,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
22215,1,2790,23,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
14034,1,26400,120,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
17499,1,0,0,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
18014,1,0,0,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
23463,1,2617138,7347,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
2224,1,16245,78,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
22791,1,14300,65,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
19064,1,0,0,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
15965,1,3210,14,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
938,1,17760,74,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
23014,1,114400,500,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
13292,1,0,0,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
21742,1,22170373,84108,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
11227,1,800,4,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
5511,1,4530,32,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
19624,1,300,1,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
18812,1,44000,200,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
9977,1,28820,131,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
23290,1,12945,62,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
19400,1,38940,177,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
19811,1,15630,81,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
18774,1,39600,180,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
16476,1,22000,100,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
23193,1,11115,55,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
18755,1,12600,60,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
23339,1,12770,58,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
11237,1,29850,117,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
19061,1,21560,98,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
502,1,3020,30,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
13730,1,9600,48,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
14720,1,23940,133,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
23394,1,43500,174,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
12489,1,70200,260,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
21087,1,32140,119,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
20047,1,27500,125,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
20052,1,67100,305,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
15629,1,22950,85,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
21355,2,27300,158,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
1586,2,7730,29,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
22448,2,149210,503,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
20675,2,16550,85,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
23349,2,16628,76,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
21356,2,26740,156,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
18629,2,37300,165,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
20262,2,10450,55,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
17368,2,84460,187,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
2814,2,29150,136,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
22080,2,10931,43,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
20726,2,95450,397,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
21887,2,10261,41,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
23287,2,540,6,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
20674,2,20400,106,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
20186,2,11615,55,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
1585,2,20875,87,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
18891,2,1210,11,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
2815,2,30620,143,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
23384,2,312036,1319,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
6711,2,21280,104,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
1394,2,11590,62,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
10331,2,31480,158,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
1608,2,2945,11,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
21914,2,11840,52,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
1593,2,11070,44,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
1626,2,5140,22,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
9051,2,21730,99,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
22759,2,4830,38,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
2813,2,29215,135,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
23367,2,23461,103,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
22908,2,202500,915,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
23363,2,313569,1250,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
17254,2,28020,158,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
21908,2,8445,36,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
23222,2,32967,144,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
23401,2,254997,1116,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
23375,2,89198,395,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
20673,2,31480,159,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
18618,2,7535,42,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
22179,2,8640,37,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
20727,2,86760,362,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
18705,2,2820,15,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
21943,2,12615,55,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
23320,2,59369,273,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
18531,2,16580,64,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
21363,3,40860,232,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
4469,3,46840,231,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
21364,3,41340,235,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
23288,3,1000,9,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
20263,3,1710,10,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
23386,3,46080,230,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
23317,3,70614,291,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
22754,3,5970,47,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
14586,3,11130,78,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
23144,3,4158873,16872,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
21366,3,40700,234,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
21365,3,41460,232,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
6630,3,47800,236,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
20707,3,2595,15,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
23275,3,47160,238,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
21362,3,41340,233,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
19954,3,4475,18,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
21359,3,41100,231,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
19224,3,46400,230,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
19731,3,5520,53,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
20270,3,1725,10,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
22758,3,22290,147,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
21358,3,41280,232,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
22198,3,51530,220,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
23274,3,46280,229,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
5666,3,25200,124,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
22673,3,181490,665,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
22755,3,8760,65,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
