person_id,gender_id,person_name,person_original_name,known_for_department,data_created_time,data_updated_time
1260215,0,Quốc Huy,Quốc Huy,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
4393069,0,Lee Yong-kyu,Lee Yong-kyu,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
1945900,0,Thinley Lhamo,Thinley Lhamo,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
3622186,0,Omar Abu Amer,Omar Abu Amer,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
4891316,0,Mariana Correa,Mariana Correa,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
3549778,0,Camille Leban Martins,Camille Leban Martins,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
3199079,0,Nadia Kucher,Nadia Kucher,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
1729468,0,Hiftu Quasem,Hiftu Quasem,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
4131510,0,Anna Krekeler,Anna Krekeler,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
3497174,0,Joely Mbundu,Joely Mbundu,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
2615518,0,Molly Lynch,Molly Lynch,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
4305966,0,Doug Abrams,Doug Abrams,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
4416903,0,Eddy Maday,Eddy Maday,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
3606502,0,Isariya Chanopala,Isariya Chanopala,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
